symbol,close_time,close,candle_return_pct,body_pct,volume_ratio_6h,rsi_1h,oi_change_pct_1h,continuation_probability,continuation_prediction
FHEUSDT,2026-05-05 22:59:59.999000+00:00,0.043,2.4053346034770113,2.4053346034770113,0.3532855755248124,74.93844355153706,,0.33315068,0
BSBUSDT,2026-05-05 22:59:59.999000+00:00,0.60566,0.0,0.0,0.13286544906232362,41.31962900428621,,0.21048883,0
NOTUSDT,2026-05-05 22:59:59.999000+00:00,0.0005348,1.3838862559241736,1.3838862559241736,0.31879073348623105,63.04606409122764,,0.157542,0
LABUSDT,2026-05-05 22:59:59.999000+00:00,2.86721,2.8783741599359947,2.8783741599359947,0.328207100713643,62.99154437957168,,0.15459238,0
LUNCUSDT,2026-05-05 22:59:59.999000+00:00,0.000113781,0.5603330181091803,0.5603330181091803,0.09462007419095109,60.61274606275753,,0.14666158,0
ZECUSDT,2026-05-05 22:59:59.999000+00:00,522.96,1.3429451776059655,1.3429451776059655,0.14266361723044077,74.38628066737866,,0.10407308,0
TACUSDT,2026-05-05 22:59:59.999000+00:00,0.02119,0.20807717771682063,0.20807717771682063,0.3118727972234927,37.25902059736726,,0.09991104,0
STXUSDT,2026-05-05 22:59:59.999000+00:00,0.2516,0.7609130957148518,0.7609130957148518,0.04624251487355377,56.78764543107277,,0.09626423,0
VELVETUSDT,2026-05-05 22:59:59.999000+00:00,0.09667,0.5199126546740153,0.5199126546740153,0.4800929360887031,46.919785509988394,,0.09606873,0
EVAAUSDT,2026-05-05 22:59:59.999000+00:00,0.5956,0.01679261125104769,0.01679261125104769,0.22040066706182607,42.929774598799774,,0.09481639,0
TONUSDT,2026-05-05 22:59:59.999000+00:00,2.0104,1.5610002525890452,1.5610002525890452,0.25590815022312385,73.56620242523587,,0.09398098,0
MUSDT,2026-05-05 22:59:59.999000+00:00,3.56231,1.2543417335099398,1.2543417335099398,0.3365063299974697,63.26114737378939,,0.09157923,0
RAVEUSDT,2026-05-05 22:59:59.999000+00:00,0.7092,1.3157330819011774,1.3157330819011774,0.35385725009935676,46.15830477878715,,0.072762914,0
ICPUSDT,2026-05-05 22:59:59.999000+00:00,2.712,0.14771048744460868,0.14771048744460868,0.35480778704971117,68.09876393338057,,0.06924748,0
EIGENUSDT,2026-05-05 22:59:59.999000+00:00,0.1989,0.9644670050761346,0.9644670050761346,0.7635120682938265,59.04685249093685,,0.06441078,0
SKYAIUSDT,2026-05-05 22:59:59.999000+00:00,0.74957,1.70418311827518,1.70418311827518,0.3132160515152517,57.20207537793964,,0.047967892,0
CATIUSDT,2026-05-05 22:59:59.999000+00:00,0.06408,0.7388775349787741,0.7388775349787741,0.3721825409216024,61.12617311539741,,0.04609843,0
ZEREBROUSDT,2026-05-05 22:59:59.999000+00:00,0.03034,1.3021702838063371,1.3021702838063371,0.3570654178955621,39.54852198424461,,0.04206941,0
SWARMSUSDT,2026-05-05 22:59:59.999000+00:00,0.03115,1.664490861618799,1.664490861618799,0.21097286417389527,54.61164537266983,,0.04000153,0
TAOUSDT,2026-05-05 22:59:59.999000+00:00,299.1,2.501713502398907,2.501713502398907,0.6423273852066222,70.79370394454246,,0.03547761,0
DASHUSDT,2026-05-05 22:59:59.999000+00:00,48.8,0.452861259777684,0.452861259777684,0.2831371347233085,59.85559449024988,,0.03198687,0
ONDOUSDT,2026-05-05 22:59:59.999000+00:00,0.3266,0.554187192118234,0.554187192118234,0.589136611388148,58.98006764446624,,0.031501897,0
VIRTUALUSDT,2026-05-05 22:59:59.999000+00:00,0.8226,0.8830022075055168,0.8830022075055168,0.17090054731384127,64.55271955190241,,0.030449329,0
DOGSUSDT,2026-05-05 22:59:59.999000+00:00,6.978e-05,8.827199001871486,8.827199001871486,0.7817622913813226,65.0692901726537,,0.030362273,0
RIVERUSDT,2026-05-05 22:59:59.999000+00:00,6.062,0.6976744186046628,0.6976744186046628,0.3600084063047286,42.0609629463812,,0.028511304,0
