symbol,scan_time,market_provider,price,mark_price,funding_rate,oi_contracts,oi_value_now,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_value_1h_ago,oi_change_pct_1h,rsi_mean,rsi_std,rsi_min,rsi_max,rsi_range,rsi_divergence_5m_4h,rsi_divergence_15m_1h,rsi_divergence_1m_1h,n_tf_oversold,n_tf_overbought,oi_rising,oi_spike,price_momentum_24h,price_pct_change,price_rolling_std_6,oi_pct_change,rsi_5m_slope,target_time,future_scan_time,future_price,future_return_pct,label
0GUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.54418,0.54418,-0.001443,13737055,7476804.2954,-2.06,0.63047,0.51759,5751231.3472,57.67,53.43,54.4,49.65,42.4,44.29,7350250.48692,1.722,50.30666666666667,5.997935200272396,42.4,57.67,15.270000000000003,11.030000000000001,4.75,8.020000000000003,0,0,1,0,-2.06,,,,,2026-04-27 22:28:02.383816+00:00,,,,
AAVEUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,96.59,96.59,-1.5e-05,12065293,11665931.8017,-0.48,100.82,95.18,10125987.0764,68.6,67.96,55.29,51.67,53.87,48.03,11502874.7526,1.418,57.56999999999999,8.652433183792866,48.03,68.6,20.569999999999993,14.089999999999996,3.6199999999999974,16.929999999999993,0,0,1,0,-0.48,,,,,2026-04-27 22:28:02.383816+00:00,,,,
ADAUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.24569,0.24569,-0.000113,17343562,42616600.5464,-2.87,0.25613,0.243,15426387.3088,61.42,54.33,49.51,37.94,41.36,46.25,43168146.1156,-1.278,48.468333333333334,8.596337398373024,37.94,61.42,23.480000000000004,12.969999999999999,11.57,23.480000000000004,0,0,0,0,-2.87,,,,,2026-04-27 22:28:02.383816+00:00,,,,
AGTUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.018495,0.018495,5.1e-05,1593181,2948818.7129,-15.71,0.033963,0.01634,18189644.7558,26.72,39.14,50.71,50.19,55.18,58.08,2986105.0934,-1.249,46.669999999999995,11.713441851138375,26.72,58.08,31.36,-16.04,0.5200000000000031,-23.47,1,0,0,0,-15.71,,,,,2026-04-27 22:28:02.383816+00:00,,,,
AINUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.08934,0.08934,0.001332,2332075,2084408.635,13.489999999999998,0.09368,0.07682,21979317.5036,48.19,47.59,47.93,59.24,77.17,65.33,2068069.0772,0.79,57.574999999999996,12.06383645446174,47.59,77.17,29.58,-29.58,-11.310000000000002,-11.050000000000004,0,1,1,0,13.489999999999998,,,,,2026-04-27 22:28:02.383816+00:00,,,,
AIOTUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.0856,0.0856,-0.000801,1507256,1298199.5928,22.02,0.09706,0.06077,5389450.8142,56.99,56.27,57.25,61.52,71.29,68.0,1514524.5621,-14.283,61.88666666666666,6.3710742160695855,56.27,71.29,15.020000000000003,-15.020000000000003,-4.270000000000003,-4.530000000000001,0,1,0,1,22.02,,,,,2026-04-27 22:28:02.383816+00:00,,,,
ALGOUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.11531,0.11531,0.000199,66986061,7734880.46367,-3.09,0.12105,0.11462,6480023.62834,54.09,38.41,40.71,42.96,54.26,58.85,7873400.35413,-1.759,48.21333333333334,8.535091485547573,38.41,58.85,20.440000000000005,-15.850000000000001,-2.25,11.130000000000003,0,0,0,0,-3.09,,,,,2026-04-27 22:28:02.383816+00:00,,,,
APEUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.1408,0.1408,-0.000126,448581044,6329478.530840001,-6.94,0.1531,0.1381,6304253.79548,56.25,45.3,47.69,42.78,49.44,62.51,6236297.628830001,1.494,50.66166666666667,7.386526698433213,42.78,62.51,19.729999999999997,-4.140000000000001,4.909999999999997,13.469999999999999,0,0,1,0,-6.94,,,,,2026-04-27 22:28:02.383816+00:00,,,,
ASTERUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.64532,0.64532,3.8e-05,50464261,32570643.33462,-2.21,0.66436,0.64107,6929670.14766,58.36,53.43,45.59,36.6,34.83,39.88,32564167.19034,0.02,44.781666666666666,9.484934194113666,34.83,58.36,23.53,18.6,8.990000000000002,21.759999999999998,0,0,1,0,-2.21,,,,,2026-04-27 22:28:02.383816+00:00,,,,
AUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.08741,0.08741,-0.000678,23041400,2014509.602,-4.390000000000001,0.0924,0.08328,5108266.92454,52.32,46.01,48.25,42.27,46.85,56.3,2025541.16968,-0.545,48.666666666666664,4.961123528664314,42.27,56.3,14.029999999999994,-0.8400000000000034,5.979999999999997,10.049999999999997,0,0,0,0,-4.390000000000001,,,,,2026-04-27 22:28:02.383816+00:00,,,,
BCHUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,448.5,448.5,-6.4e-05,2378958,10669864.5258,-1.2,457.88,445.48,7562851.905,50.93,50.34,47.44,42.08,42.57,48.71,10484849.6657,1.765,47.01166666666666,3.835327452339197,42.08,50.93,8.850000000000001,7.770000000000003,5.359999999999999,8.850000000000001,0,0,1,0,-1.2,,,,,2026-04-27 22:28:02.383816+00:00,,,,
BEATUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.55152,0.55152,-0.00046,1537474,8453954.5364,-3.67,0.57988,0.50767,7152602.588,58.99,59.76,54.83,50.1,48.9,59.11,8584595.7738,-1.522,55.281666666666666,4.821673637510804,48.9,59.76,10.86,10.86,4.729999999999997,8.89,0,0,0,0,-3.67,,,,,2026-04-27 22:28:02.383816+00:00,,,,
BNBUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,624.09,624.09,5.7e-05,4261591,26600851.022000004,-1.86,639.8,618.42,5580418.406,61.48,60.01,53.03,39.69,40.68,49.53,26573735.774000004,0.102,50.73666666666666,9.287569470354807,39.69,61.48,21.79,19.33,13.340000000000003,21.79,0,0,1,0,-1.86,,,,,2026-04-27 22:28:02.383816+00:00,,,,
BSBUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.74705,0.74705,0.000199,899018,6717912.005,1.65,0.94689,0.62787,28984362.6834,67.21,57.12,51.06,49.86,57.93,87.24,5686714.4775,18.133,61.73666666666667,13.93720297142388,49.86,87.24,37.379999999999995,-0.8100000000000023,1.2000000000000028,17.349999999999994,0,1,1,1,1.65,,,,,2026-04-27 22:28:02.383816+00:00,,,,
BTCUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,76875.3,76875.3,1.8e-05,29182624,2243422974.7872,-1.76,79475.6,76452.0,659391518.2732,48.33,49.05,44.93,35.08,43.34,58.1,2259270279.7551003,-0.701,46.471666666666664,7.579887642087228,35.08,58.1,23.020000000000003,5.709999999999994,9.850000000000001,13.25,0,0,0,0,-1.76,,,,,2026-04-27 22:28:02.383816+00:00,,,,
CAKEUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,1.4977,1.4977,-0.000185,2125663,3184243.174,-2.56,1.5449,1.4829,5652461.93,43.66,42.86,47.76,36.01,43.34,50.02,3459440.754,-7.955,43.94166666666666,4.817644306781758,36.01,50.02,14.010000000000005,-0.480000000000004,11.75,7.649999999999999,0,0,0,1,-2.56,,,,,2026-04-27 22:28:02.383816+00:00,,,,
CATIUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.04602,0.04602,6.5e-05,7233505,332958.23515,-1.41,0.04855,0.04525,6575666.52724,39.69,40.15,47.98,43.14,44.47,45.3,323106.75646,3.049,43.45499999999999,3.1656705450820364,39.69,47.98,8.29,-4.32,4.839999999999996,-3.450000000000003,0,0,1,1,-1.41,,,,,2026-04-27 22:28:02.383816+00:00,,,,
CHIPUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.07543,0.07543,-0.001952,1268071,9579008.334,2.21,0.08598,0.07048,17123479.054,52.52,54.06,55.77,52.12,49.51,,9986312.46,-4.079,52.79600000000001,2.333094511587563,49.51,55.77,6.260000000000005,4.550000000000004,3.6500000000000057,0.4000000000000057,0,0,0,1,2.21,,,,,2026-04-27 22:28:02.383816+00:00,,,,
CROSSUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.10097,0.10097,-9.3e-05,865148,873539.9356000001,-10.78,0.11695,0.09659,11112763.9784,49.08,48.78,44.84,38.78,39.45,57.38,959598.686,-8.968,46.385,6.959976293063073,38.78,57.38,18.6,9.329999999999998,6.060000000000002,10.299999999999997,0,0,0,1,-10.78,,,,,2026-04-27 22:28:02.383816+00:00,,,,
CUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.07584,0.07584,0.000652,3190109,2418102.622,-6.45,0.08246,0.07499,11108251.7594,47.68,45.76,39.05,33.62,39.21,49.76,2424543.348,-0.266,42.513333333333335,6.192697850425667,33.62,49.76,16.14,6.549999999999997,5.43,14.060000000000002,0,0,0,0,-6.45,,,,,2026-04-27 22:28:02.383816+00:00,,,,
DOGEUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.09806,0.09806,-2.1e-05,8069646,79163227.26,-1.28,0.10086,0.09693,20250419.49,60.21,58.57,53.79,46.85,50.64,56.24,79608826.89,-0.56,54.38333333333333,5.020779487954701,46.85,60.21,13.36,7.93,6.939999999999998,13.36,0,0,0,0,-1.28,,,,,2026-04-27 22:28:02.383816+00:00,,,,
DOGSUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,3.081e-05,3.081e-05,0.000109,61373782,1890926.22342,-4.88,3.451e-05,3.039e-05,5189847.83154,38.59,41.01,44.81,39.84,37.59,49.81,1894450.05555,-0.186,41.94166666666667,4.595512666359072,37.59,49.81,12.219999999999999,3.4199999999999946,4.969999999999999,-1.25,0,0,0,0,-4.88,,,,,2026-04-27 22:28:02.383816+00:00,,,,
ETHFIUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.4289,0.4289,-0.000231,3133941,1344147.2949,-4.5600000000000005,0.4536,0.4218,7307024.7786,56.11,64.87,53.89,39.82,37.58,41.82,1314928.9113,2.222,49.01499999999999,10.886330419383752,37.58,64.87,27.290000000000006,27.290000000000006,14.07,16.29,0,0,1,0,-4.5600000000000005,,,,,2026-04-27 22:28:02.383816+00:00,,,,
ETHUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,2288.89,2288.89,1.3e-05,32484993,743545756.2777,-3.3300000000000005,2404.43,2265.41,443877717.7864,47.19,47.19,45.47,34.32,41.37,51.46,748516218.2461,-0.664,44.5,5.9545612768700265,34.32,51.46,17.14,5.82,11.149999999999999,12.869999999999997,0,0,0,0,-3.3300000000000005,,,,,2026-04-27 22:28:02.383816+00:00,,,,
FARTCOINUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.1968,0.1968,-4.7e-05,43824847,8633494.859000001,-4.279999999999999,0.214,0.1926,7173432.201,66.12,64.04,50.84,41.17,45.08,51.02,8632491.341,0.012,53.044999999999995,10.052513616006697,41.17,66.12,24.950000000000003,18.960000000000008,9.670000000000002,24.950000000000003,0,0,1,0,-4.279999999999999,,,,,2026-04-27 22:28:02.383816+00:00,,,,
FILUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.911,0.911,3.2e-05,109944876,10019276.549880002,-3.76,0.958,0.8989,10325792.69212,51.12,50.39,46.26,35.46,39.53,49.07,10052824.23678,-0.334,45.305,6.403645055747545,35.46,51.12,15.659999999999997,10.86,10.799999999999997,15.659999999999997,0,0,0,0,-3.76,,,,,2026-04-27 22:28:02.383816+00:00,,,,
FLOKIUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,3.1761e-05,3.1761e-05,0.00034,1793306,5698947.1374,-4.109999999999999,3.385e-05,3.1428e-05,7532287.6274,58.61,55.89,48.63,38.12,42.48,54.57,5711226.5430000005,-0.215,49.71666666666667,8.109119968693687,38.12,58.61,20.490000000000002,13.410000000000004,10.510000000000005,20.490000000000002,0,0,0,0,-4.109999999999999,,,,,2026-04-27 22:28:02.383816+00:00,,,,
GIGGLEUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,35.1,35.1,0.000212,8772497,3080900.9464,3.02,36.6,32.33,8743689.8042,55.95,50.66,57.14,57.86,53.07,53.54,3420898.72,-9.939,54.70333333333334,2.7504811700258327,50.66,57.86,7.200000000000003,-2.4100000000000037,-0.7199999999999989,-1.9099999999999966,0,0,0,1,3.02,,,,,2026-04-27 22:28:02.383816+00:00,,,,
HBARUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.08925,0.08925,-0.000109,12221226,10906222.0824,-3.38,0.09312,0.08896,8006975.2118,61.39,47.0,39.96,32.27,38.13,47.96,10801444.506,0.97,44.45166666666666,10.141410980069127,32.27,61.39,29.119999999999997,8.869999999999997,7.689999999999998,29.119999999999997,0,0,1,0,-3.38,,,,,2026-04-27 22:28:02.383816+00:00,,,,
HYPEUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,41.392,41.392,5.6e-05,16481086,68233344.14860001,-1.61,43.596,41.266,24755581.5404,52.32,39.69,36.56,36.11,47.24,52.77,67770969.5004,0.682,44.115,7.651605713835496,36.11,52.77,16.660000000000004,-7.550000000000004,0.45000000000000284,16.21,0,0,1,0,-1.61,,,,,2026-04-27 22:28:02.383816+00:00,,,,
IDOLUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.02243,0.02243,-0.00405,647549,1452452.407,-2.47,0.0237,0.02223,17673463.588,53.04,56.72,44.55,38.77,39.06,45.89,1475304.091,-1.549,46.33833333333334,7.29855168281123,38.77,56.72,17.949999999999996,17.659999999999997,5.779999999999994,14.269999999999996,0,0,0,0,-2.47,,,,,2026-04-27 22:28:02.383816+00:00,,,,
JELLYJELLYUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.05054,0.05054,0.000699,3239281,16359340.8343,6.859999999999999,0.053622,0.046977,8029882.6946,42.82,40.43,39.88,51.89,64.47,57.13,16458458.0221,-0.602,49.43666666666667,10.074100787001619,39.88,64.47,24.589999999999996,-24.04,-12.009999999999998,-9.07,0,0,0,0,6.859999999999999,,,,,2026-04-27 22:28:02.383816+00:00,,,,
