symbol,scan_time,price,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_contracts,funding_rate,rsi_mean,rsi_std,rsi_min,rsi_max,rsi_range,rsi_divergence_5m_4h,rsi_divergence_15m_1h,rsi_divergence_1m_1h,n_tf_oversold,n_tf_overbought,price_momentum_24h,price_pct_change,price_rolling_std_6,oi_pct_change,rsi_5m_slope,cg_funding_oi_weighted_bps,cg_funding_spread_bps,cg_top_ls_ratio,cg_global_ls_ratio,cg_top_minus_global_ls,cg_taker_buy_sell_ratio,cg_liq_pull_up,cg_liq_pull_down,cg_liq_pull_ratio,orderbook_imb,cvd_avg,taker_buy_ratio,basis_bps,orderbook_bid_depth,orderbook_ask_depth,trade_count,target_time,future_scan_time,future_price,future_return_pct,label
AIXBTUSDT,2026-04-29 23:01:12.560132+00:00,0.02782,0.1399999999999999,0.02991,0.02661,7688844.985,78.62,66.16,52.32,46.05,50.47,55.26,1277303.833,0.000107,58.14666666666667,12.090610682122996,46.05,78.62,32.57000000000001,15.689999999999998,6.270000000000003,32.57000000000001,0,1,0.1399999999999999,,,,,1.303194811447367,1.66,1.07,,,,733143.4981448598,733143.4981448576,1.000000000000003,-0.0035251292303258687,573.4,0.6625836452308042,7.225433526011266,2810.6613999999995,2830.5473899999997,100.0,2026-04-30 00:01:12.560132+00:00,,,,
AIXBTUSDT,2026-04-29 23:21:51.344441+00:00,0.0277,-0.0699999999999999,0.02991,0.02661,7685796.1302,26.62,49.38,47.22,43.22,49.17,54.58,1299865.712,0.000193,45.031666666666666,9.739249286606574,26.62,54.58,27.959999999999997,0.21000000000000085,4.0,-16.599999999999998,1,0,-0.0699999999999999,-0.43134435657801173,,1.7663674387486061,-16.779999999999994,1.303194811447367,1.66,1.07,,,,733143.4981448598,733143.4981448576,1.000000000000003,-0.0035251292303258687,573.4,0.6625836452308042,7.225433526011266,2810.6613999999995,2830.5473899999997,100.0,2026-04-30 00:21:51.344441+00:00,,,,
APEUSDT,2026-04-29 23:01:12.560132+00:00,0.1483,-5.96,0.1591,0.1409,7281824.0343,38.16,44.96,52.26,44.8,49.27,62.79,6935902.55388,-0.00083,48.70666666666667,8.388271971429317,38.16,62.79,24.630000000000003,-4.310000000000002,7.460000000000001,-6.640000000000001,0,0,-5.96,,,,,-7.546390920492055,2.2420743937440006,2.3,,,,4124324.0445290064,4124324.0445290064,1.0,-0.18149593353145793,22896.0,1.0,-6.802721088434626,208270.76643000005,300635.11434000003,100.0,2026-04-30 00:01:12.560132+00:00,,,,
APEUSDT,2026-04-29 23:21:51.344441+00:00,0.1469,-6.9,0.1591,0.1409,7280618.2068,23.32,33.62,46.86,42.14,48.41,62.13,6600949.54623,-0.000852,42.74666666666667,13.30989055802739,23.32,62.13,38.81,-14.79,4.719999999999999,-18.82,1,0,-6.9,-0.9440323668239992,,-4.829263459917321,-11.340000000000003,-7.546390920492055,2.2420743937440006,2.3,,,,4124324.0445290064,4124324.0445290064,1.0,-0.18149593353145793,22896.0,1.0,-6.802721088434626,208270.76643000005,300635.11434000003,100.0,2026-04-30 00:21:51.344441+00:00,,,,
ARCUSDT,2026-04-29 23:01:12.560132+00:00,0.075151,10.8,0.077351,0.065783,5301894.7683,,,,,,,1466144.15581,0.000433,,,,,,,,,0,0,10.8,,,,,0.40560044004794843,0.21000000000000002,,,,,926184.7760244778,926184.7760244778,1.0,,,,,,,,2026-04-30 00:01:12.560132+00:00,,,,
ARCUSDT,2026-04-29 23:21:51.344441+00:00,0.075008,12.88,0.077351,0.065783,5311464.34792,,,,,,,1509637.2608,4.4e-05,,,,,,,,,0,0,12.88,-0.1902835624276289,,2.966495812683001,,0.40560044004794843,0.21000000000000002,,,,,926184.7760244778,926184.7760244778,1.0,,,,,,,,2026-04-30 00:21:51.344441+00:00,,,,
ASTERUSDT,2026-04-29 23:01:12.560132+00:00,0.65725,0.7799999999999999,0.68085,0.64717,24614146.17098,36.23,51.75,49.46,49.32,51.24,45.75,34136485.7955,0.000126,47.291666666666664,5.814104975545822,36.23,51.75,15.520000000000003,0.509999999999998,0.14000000000000057,-13.090000000000003,0,0,0.7799999999999999,,,,,1.005900950304774,0.8899999999999999,1.79,,,,16649173.313101724,16649173.313101638,1.000000000000005,-0.10321212301592139,-330.8,0.38769690385659966,-0.45530429503848097,220224.8958,270916.6583,100.0,2026-04-30 00:01:12.560132+00:00,,,,
ASTERUSDT,2026-04-29 23:21:51.344441+00:00,0.65848,1.1,0.68085,0.64717,24571025.6212,45.35,54.47,51.05,50.39,51.76,46.12,34261443.337359995,0.000143,49.85666666666666,3.4896055173424205,45.35,54.47,9.119999999999997,2.710000000000001,0.6599999999999966,-5.039999999999999,0,0,1.1,0.187143400532519,,0.36605274077878835,2.719999999999999,1.005900950304774,0.8899999999999999,1.79,,,,16649173.313101724,16649173.313101638,1.000000000000005,-0.10321212301592139,-330.8,0.38769690385659966,-0.45530429503848097,220224.8958,270916.6583,100.0,2026-04-30 00:21:51.344441+00:00,,,,
AUSDT,2026-04-29 23:01:12.560132+00:00,0.0949,2.62,0.09827,0.09176,5333684.84074,30.99,42.42,49.55,53.19,62.8,65.84,2310263.2514,-0.000153,50.798333333333325,12.962535888732061,30.99,65.84,34.85000000000001,-20.379999999999995,-3.6400000000000006,-22.2,0,0,2.62,,,,,-0.1014510206914879,1.073495598048,1.24,,,,1081479.7722268607,1081479.7722268568,1.0000000000000036,-0.33414484061713606,141.6,0.5839260312944523,-3.198294243069123,662.73122,1327.8855399999998,100.0,2026-04-30 00:01:12.560132+00:00,,,,
AUSDT,2026-04-29 23:21:51.344441+00:00,0.09415,1.7999999999999998,0.09827,0.09176,5308802.0092,25.44,31.26,43.78,49.34,60.26,64.94,2282391.4554,-3e-05,45.836666666666666,15.607538776715137,25.44,64.94,39.5,-28.999999999999996,-5.560000000000002,-23.900000000000002,1,0,1.7999999999999998,-0.7903055848261342,,-1.2064337682344162,-11.16,-0.1014510206914879,1.073495598048,1.24,,,,1081479.7722268607,1081479.7722268568,1.0000000000000036,-0.33414484061713606,141.6,0.5839260312944523,-3.198294243069123,662.73122,1327.8855399999998,100.0,2026-04-30 00:21:51.344441+00:00,,,,
