symbol,scan_time,market_provider,price,mark_price,funding_rate,oi_contracts,oi_value_now,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_value_1h_ago,oi_change_pct_1h,rsi_mean,rsi_std,rsi_min,rsi_max,rsi_range,rsi_divergence_5m_4h,rsi_divergence_15m_1h,rsi_divergence_1m_1h,n_tf_oversold,n_tf_overbought,oi_rising,oi_spike,price_momentum_24h,price_pct_change,price_rolling_std_6,oi_pct_change,rsi_5m_slope,target_time,future_scan_time,future_price,future_return_pct,label
0GUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.54418,0.54418,-0.001443,13737055,7476804.2954,-2.06,0.63047,0.51759,5751231.3472,57.67,53.43,54.4,49.65,42.4,44.29,7350250.48692,1.722,50.30666666666667,5.997935200272396,42.4,57.67,15.270000000000003,11.030000000000001,4.75,8.020000000000003,0,0,1,0,-2.06,,,,,2026-04-27 22:28:02.383816+00:00,,,,
0GUSDT,2026-04-27 21:36:39.315235+00:00,kucoin,0.54656,0.54656,-0.001489,13757969,7519693.11633,-1.36,0.63047,0.51759,5758125.44494,64.28,61.44,58.51,51.4,44.13,45.02,7386303.2544,1.806,54.129999999999995,8.556728346745617,44.13,64.28,20.15,17.309999999999995,7.109999999999999,12.880000000000003,0,0,1,0,-1.36,0.43735528685362457,,0.15224515007037365,8.009999999999998,2026-04-27 22:36:39.315235+00:00,,,,
AAVEUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,96.59,96.59,-1.5e-05,12065293,11665931.8017,-0.48,100.82,95.18,10125987.0764,68.6,67.96,55.29,51.67,53.87,48.03,11502874.7526,1.418,57.56999999999999,8.652433183792866,48.03,68.6,20.569999999999993,14.089999999999996,3.6199999999999974,16.929999999999993,0,0,1,0,-0.48,,,,,2026-04-27 22:28:02.383816+00:00,,,,
AAVEUSDT,2026-04-27 21:36:39.315235+00:00,kucoin,96.92,96.92,-1.2e-05,11992344,11628975.9768,0.11,100.82,95.18,10102994.502,75.68,72.79,58.78,53.26,54.63,48.35,11659079.3436,-0.258,60.58166666666668,11.125573093853042,48.35,75.68,27.330000000000005,18.160000000000004,5.520000000000003,22.42000000000001,0,2,0,0,0.11,0.34165027435553164,,-0.6046185533994053,4.8300000000000125,2026-04-27 22:36:39.315235+00:00,,,,
ADAUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.24569,0.24569,-0.000113,17343562,42616600.5464,-2.87,0.25613,0.243,15426387.3088,61.42,54.33,49.51,37.94,41.36,46.25,43168146.1156,-1.278,48.468333333333334,8.596337398373024,37.94,61.42,23.480000000000004,12.969999999999999,11.57,23.480000000000004,0,0,0,0,-2.87,,,,,2026-04-27 22:28:02.383816+00:00,,,,
ADAUSDT,2026-04-27 21:36:39.315235+00:00,kucoin,0.24603,0.24603,-0.000109,17375894,42748174.4188,-2.34,0.25613,0.243,15428068.0204,70.82,60.34,52.69,39.58,42.06,46.43,43197345.4338,-1.04,51.98666666666667,11.902167309640149,39.58,70.82,31.239999999999995,18.28,13.11,31.239999999999995,0,1,0,0,-2.34,0.13838577068663316,,0.18642075947259418,6.010000000000005,2026-04-27 22:36:39.315235+00:00,,,,
AGTUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.018495,0.018495,5.1e-05,1593181,2948818.7129,-15.71,0.033963,0.01634,18189644.7558,26.72,39.14,50.71,50.19,55.18,58.08,2986105.0934,-1.249,46.669999999999995,11.713441851138375,26.72,58.08,31.36,-16.04,0.5200000000000031,-23.47,1,0,0,0,-15.71,,,,,2026-04-27 22:28:02.383816+00:00,,,,
AGTUSDT,2026-04-27 21:36:39.315235+00:00,kucoin,0.018809,0.018809,0.000109,1571998,2977364.212,-16.009999999999998,0.033963,0.01634,18162009.6572,55.64,50.45,57.0,52.28,56.36,58.82,3047629.718,-2.306,55.09166666666667,3.1273657711669514,50.45,58.82,8.369999999999997,-5.909999999999997,4.719999999999999,3.3599999999999994,0,0,0,0,-16.009999999999998,1.6977561503108918,,-1.329604106501392,11.310000000000002,2026-04-27 22:36:39.315235+00:00,,,,
AINUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.08934,0.08934,0.001332,2332075,2084408.635,13.489999999999998,0.09368,0.07682,21979317.5036,48.19,47.59,47.93,59.24,77.17,65.33,2068069.0772,0.79,57.574999999999996,12.06383645446174,47.59,77.17,29.58,-29.58,-11.310000000000002,-11.050000000000004,0,1,1,0,13.489999999999998,,,,,2026-04-27 22:28:02.383816+00:00,,,,
AINUSDT,2026-04-27 21:36:39.315235+00:00,kucoin,0.08892,0.08892,0.001335,2344627,2085311.2538,12.49,0.09368,0.07682,21985957.243,45.12,47.14,46.98,58.8,77.1,65.29,2061701.2414,1.145,56.73833333333334,12.761799899178277,45.12,77.1,31.979999999999997,-29.959999999999994,-11.82,-13.68,0,1,1,0,12.49,-0.4701141705842904,,0.5382331185746603,-0.45000000000000284,2026-04-27 22:36:39.315235+00:00,,,,
