symbol,scan_time,market_provider,price,mark_price,funding_rate,oi_contracts,oi_value_now,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_value_1h_ago,oi_change_pct_1h,rsi_mean,rsi_std,rsi_min,rsi_max,rsi_range,rsi_divergence_5m_4h,rsi_divergence_15m_1h,rsi_divergence_1m_1h,n_tf_oversold,n_tf_overbought,oi_rising,oi_spike,price_momentum_24h,price_pct_change,price_rolling_std_6,oi_pct_change,rsi_5m_slope,cg_funding_oi_weighted_bps,cg_funding_spread_bps,cg_top_ls_ratio,cg_global_ls_ratio,cg_top_minus_global_ls,cg_taker_buy_sell_ratio,cg_liq_pull_up,cg_liq_pull_down,cg_liq_pull_ratio,target_time,future_scan_time,future_price,future_return_pct,label
1000BONKUSDT,2026-04-29 21:45:00.809610+00:00,0.0061768,-1.1,0.006535,0.005979,16883509.726,79.14,71.75,55.49,45.67,47.3,51.23,5456047.7384,0.00012,,,,,,1818699.6561733335,3150035.841719048,0.00012,5456047.7384,5456047.73828,,,,1,1,0,0,71.75,-17924.156593317566,7317.430202630589,1620.0375034892793,5456002.5484,0.5860521356635265,2.12,,,,,2199322.755070765,2199322.7550707567,1.0000000000000038,2026-04-29 22:45:00.809610+00:00,,,,
AAVEUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,96.59,96.59,-1.5e-05,12065293.0,11665931.8017,-0.48,100.82,95.18,10125987.0764,68.6,67.96,55.29,51.67,53.87,48.03,11502874.7526,1.418,57.56999999999999,8.652433183792866,48.03,68.6,20.569999999999993,14.089999999999996,3.6199999999999974,16.929999999999993,0,0,1,0,-0.48,,,,,0.8246909023616785,0.33,2.13,,,,11653869.233702874,11653869.233702827,1.000000000000004,2026-04-27 22:28:02.383816+00:00,,,,
AAVEUSDT,2026-04-27 21:36:39.315235+00:00,kucoin,96.92,96.92,-1.2e-05,11992344.0,11628975.9768,0.11,100.82,95.18,10102994.502,75.68,72.79,58.78,53.26,54.63,48.35,11659079.3436,-0.258,60.58166666666668,11.125573093853042,48.35,75.68,27.330000000000005,18.160000000000004,5.520000000000003,22.42000000000001,0,2,0,0,0.11,0.34165027435553164,,-0.6046185533994053,4.8300000000000125,0.8246909023616785,0.33,2.13,,,,11653869.233702874,11653869.233702827,1.000000000000004,2026-04-27 22:36:39.315235+00:00,,,,
AAVEUSDT,2026-04-28 00:12:26.523922+00:00,kucoin,97.68,97.68,-4.3e-05,12041822.0,11751614.0898,0.83,100.82,95.18,10314200.2034,50.8,56.44,58.67,55.98,56.3,49.0,11535902.1297,1.87,54.531666666666666,3.7554462673118714,49.0,58.67,9.670000000000002,0.14000000000000057,2.690000000000005,-5.18,0,0,1,0,0.83,0.7841518778374024,0.3128958845079516,0.4125798926381652,-16.35000000000001,0.8246909023616785,0.33,2.13,,,,11653869.233702874,11653869.233702827,1.000000000000004,2026-04-28 01:12:26.523922+00:00,,,,
AAVEUSDT,2026-04-28 09:12:32.046598+00:00,kucoin,97.53,97.53,-4.3e-05,14091806.0,13759239.3784,1.41,99.29,95.18,12219790.2064,55.91,51.64,52.65,55.21,55.78,49.06,13284481.4772,3.574,53.375,2.7470911888759706,49.06,55.91,6.849999999999994,-4.140000000000001,-2.5600000000000023,0.6999999999999957,0,0,1,1,1.41,-0.15356265356265553,0.4691041205425793,17.023868979295663,-4.799999999999997,0.8246909023616785,0.33,2.13,,,,11653869.233702874,11653869.233702827,1.000000000000004,2026-04-28 10:12:32.046598+00:00,,,,
AAVEUSDT,2026-04-28 16:25:28.864080+00:00,kucoin,96.72,96.72,-1.9e-05,12345019.0,11937633.373,-0.06,98.47,95.18,15523894.0892,57.99,58.62,51.07,48.37,52.68,47.97,11834654.642,0.87,52.78333333333334,4.620994121037882,47.97,58.62,10.649999999999999,5.939999999999998,2.700000000000003,9.620000000000005,0,0,1,0,-0.06,-0.8305136880959685,0.6928039647750784,-12.395763892860856,6.979999999999997,0.8246909023616785,0.33,2.13,,,,11653869.233702874,11653869.233702827,1.000000000000004,2026-04-28 17:25:28.864080+00:00,,,,
AAVEUSDT,2026-04-28 20:50:08.986813+00:00,kucoin,96.76,96.76,2.8e-05,12732890.0,12324164.231000002,0.74,98.47,95.61,17154590.1214,61.88,52.76,51.73,49.46,52.97,48.1,12059259.680000002,2.197,52.81666666666667,4.834578230483676,48.1,61.88,13.780000000000001,-0.21000000000000085,2.269999999999996,12.420000000000002,0,0,1,0,0.74,0.04135649296941324,0.5999916844645827,3.1419230703492618,-5.859999999999999,0.8246909023616785,0.33,2.13,,,,11653869.233702874,11653869.233702827,1.000000000000004,2026-04-28 21:50:08.986813+00:00,,,,
AAVEUSDT,2026-04-29 00:08:01.591960+00:00,kucoin,96.44,96.44,9e-06,13985064.0,13496985.266400002,-1.03,98.47,95.61,17601341.426,55.41,50.9,49.01,47.5,51.98,48.0,13227949.1649,2.034,50.46666666666666,2.963846599719132,47.5,55.41,7.909999999999997,-1.0799999999999983,1.509999999999998,7.909999999999997,0,0,1,0,-1.03,-0.3307151715585044,0.5572080148541404,9.834169618994594,-1.8599999999999994,0.8246909023616785,0.33,2.13,,,,11653869.233702874,11653869.233702827,1.000000000000004,2026-04-29 01:08:01.591960+00:00,,,,
AAVEUSDT,2026-04-29 07:53:25.898144+00:00,kucoin,97.31,97.31,-3.5e-05,15298614.0,14893200.729,-0.3899999999999999,98.72,95.61,18098686.2302,58.97,54.82,54.52,53.59,54.83,49.06,14919099.723,-0.174,54.29833333333334,3.1739654482471384,49.06,58.97,9.909999999999997,-0.00999999999999801,0.9299999999999997,5.3799999999999955,0,0,0,0,-0.3899999999999999,0.9021153048527575,0.667041000828989,9.392520477560918,3.9200000000000017,0.8246909023616785,0.33,2.13,,,,11653869.233702874,11653869.233702827,1.000000000000004,2026-04-29 08:53:25.898144+00:00,,,,
AAVEUSDT,2026-04-29 13:11:14.790397+00:00,kucoin,95.66,95.66,-3.2e-05,14121236.0,13512610.7284,-0.4499999999999999,98.72,94.73,18738568.4902,58.29,39.99,35.1,42.45,47.97,47.03,14204979.551,-4.874,45.13833333333333,7.9882874677033655,35.1,58.29,23.189999999999998,-7.979999999999997,-7.350000000000001,15.839999999999996,0,0,0,1,-0.4499999999999999,-1.6956119617716592,0.8719283090599351,-7.695978210836618,-14.829999999999998,0.8246909023616785,0.33,2.13,,,,11653869.233702874,11653869.233702827,1.000000000000004,2026-04-29 14:11:14.790397+00:00,,,,
AAVEUSDT,2026-04-29 18:05:39.799652+00:00,kucoin,94.36,94.36,6.5e-05,13102309.0,12335823.9235,-2.3,98.72,92.95,19965015.2228,42.31,49.27,43.43,37.68,42.49,45.11,12643652.056000002,-2.435,43.38166666666667,3.7977488946304327,37.68,49.27,11.590000000000003,6.780000000000001,5.75,4.630000000000003,0,0,0,0,-2.3,-1.3589797198411024,0.9541344399641845,-7.215565266383194,9.280000000000001,0.8246909023616785,0.33,2.13,,,,11653869.233702874,11653869.233702827,1.000000000000004,2026-04-29 19:05:39.799652+00:00,,,,
AAVEUSDT,2026-04-29 21:45:00.809610+00:00,94.17,-2.49,98.72,91.99,21686437.17,53.11,58.29,51.69,40.66,43.45,44.93,9754045.7304,6.8e-05,,,,,,3251363.553489333,5631487.95798574,6.8e-05,9754045.7304,9754045.730332,,,,1,1,0,0,58.29,-102.63883001271725,41.71343161436832,65.51614810794038,9753996.4604,0.8246909023616785,0.33,2.13,,,,11653869.233702874,11653869.233702827,1.000000000000004,2026-04-29 22:45:00.809610+00:00,,,,
ADAUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.24569,0.24569,-0.000113,17343562.0,42616600.5464,-2.87,0.25613,0.243,15426387.3088,61.42,54.33,49.51,37.94,41.36,46.25,43168146.1156,-1.278,48.468333333333334,8.596337398373024,37.94,61.42,23.480000000000004,12.969999999999999,11.57,23.480000000000004,0,0,0,0,-2.87,,,,,-2.0048935663804643,2.404415978027,3.45,,,,31693257.00794866,31693257.00794853,1.0000000000000042,2026-04-27 22:28:02.383816+00:00,,,,
ADAUSDT,2026-04-27 21:36:39.315235+00:00,kucoin,0.24603,0.24603,-0.000109,17375894.0,42748174.4188,-2.34,0.25613,0.243,15428068.0204,70.82,60.34,52.69,39.58,42.06,46.43,43197345.4338,-1.04,51.98666666666667,11.902167309640149,39.58,70.82,31.239999999999995,18.28,13.11,31.239999999999995,0,1,0,0,-2.34,0.13838577068663316,,0.18642075947259418,6.010000000000005,-2.0048935663804643,2.404415978027,3.45,,,,31693257.00794866,31693257.00794853,1.0000000000000042,2026-04-27 22:36:39.315235+00:00,,,,
ADAUSDT,2026-04-28 00:12:26.523922+00:00,kucoin,0.24822,0.24822,-8.2e-05,17294794.0,42920490.2698,-1.69,0.25613,0.243,14721028.6034,57.16,68.59,69.38,51.04,47.06,47.78,42944153.2793,-0.055,56.835,10.067654642467629,47.06,69.38,22.319999999999993,21.53,18.339999999999996,6.119999999999997,0,0,0,0,-1.69,0.8901353493476316,0.5315672248253219,-0.46673857471736246,8.25,-2.0048935663804643,2.404415978027,3.45,,,,31693257.00794866,31693257.00794853,1.0000000000000042,2026-04-28 01:12:26.523922+00:00,,,,
ADAUSDT,2026-04-28 09:12:32.046598+00:00,kucoin,0.24656,0.24656,-3.7e-05,16792491.0,41418679.0515,-0.61,0.24884,0.243,11787228.131,58.79,50.07,46.91,44.46,43.82,46.67,41212151.607,0.501,48.453333333333326,5.521538432961113,43.82,58.79,14.969999999999999,6.25,2.4499999999999957,14.329999999999998,0,0,1,0,-0.61,-0.6687615824671589,0.7796125023306695,-2.9043595431087477,-18.520000000000003,-2.0048935663804643,2.404415978027,3.45,,,,31693257.00794866,31693257.00794853,1.0000000000000042,2026-04-28 10:12:32.046598+00:00,,,,
ADAUSDT,2026-04-28 16:25:28.864080+00:00,kucoin,0.24676,0.24676,-1.5e-05,18529686.0,45697911.6132,0.64,0.24884,0.24425,15136517.6622,53.42,59.26,54.66,47.24,44.54,46.65,43163274.5632,5.872,50.961666666666666,5.696709284022369,44.54,59.26,14.719999999999999,14.719999999999999,7.419999999999995,6.18,0,0,1,1,0.64,0.08111615833874541,0.6368465545703197,10.345070305531202,9.189999999999998,-2.0048935663804643,2.404415978027,3.45,,,,31693257.00794866,31693257.00794853,1.0000000000000042,2026-04-28 17:25:28.864080+00:00,,,,
ADAUSDT,2026-04-28 20:50:08.986813+00:00,kucoin,0.24751,0.24751,0.0001,17641491.0,43675039.2687,0.73,0.24884,0.2443,17274914.5794,62.47,60.23,60.28,54.14,46.95,47.31,44199900.0472,-1.187,55.23,6.861384699898409,46.95,62.47,15.519999999999996,13.279999999999994,6.140000000000001,8.329999999999998,0,0,0,0,0.73,0.30393905008916366,0.5582881406615131,-4.793362391569933,0.9699999999999989,-2.0048935663804643,2.404415978027,3.45,,,,31693257.00794866,31693257.00794853,1.0000000000000042,2026-04-28 21:50:08.986813+00:00,,,,
ADAUSDT,2026-04-29 00:08:01.591960+00:00,kucoin,0.24659,0.24659,0.000133,17229322.0,42506460.306200005,-0.48,0.24884,0.2443,18506838.3008,50.11,44.88,47.38,47.5,45.01,46.97,42742680.197,-0.553,46.975,1.924481748419558,44.88,50.11,5.229999999999997,-0.12999999999999545,-0.11999999999999744,2.6099999999999994,0,0,0,0,-0.48,-0.37170215344835,0.5427066825229764,-2.336361478743487,-15.349999999999994,-2.0048935663804643,2.404415978027,3.45,,,,31693257.00794866,31693257.00794853,1.0000000000000042,2026-04-29 01:08:01.591960+00:00,,,,
ADAUSDT,2026-04-29 07:53:25.898144+00:00,kucoin,0.24938,0.24938,6.2e-05,17449977.0,43525477.6311,0.8200000000000001,0.2506,0.2443,22130569.174,44.87,52.77,59.69,63.45,51.97,49.22,43470004.399100006,0.128,53.66166666666667,6.823941431948745,44.87,63.45,18.580000000000005,0.8000000000000043,-3.760000000000005,-18.580000000000005,0,0,1,0,0.8200000000000001,1.1314327426091841,0.6993967382894265,1.280694620484768,7.890000000000001,-2.0048935663804643,2.404415978027,3.45,,,,31693257.00794866,31693257.00794853,1.0000000000000042,2026-04-29 08:53:25.898144+00:00,,,,
ADAUSDT,2026-04-29 13:11:14.790397+00:00,kucoin,0.24881,0.24881,4.3e-05,17170232.0,42724688.2856,1.44,0.25397,0.2443,23667453.0016,43.22,31.71,38.97,50.14,49.79,48.7,44326752.8693,-3.614,43.755,7.347202869119649,31.71,50.14,18.43,-18.08,-11.170000000000002,-6.920000000000002,0,0,0,1,1.44,-0.2285668457775225,0.6334888030798815,-1.6031253221709063,-21.060000000000002,-2.0048935663804643,2.404415978027,3.45,,,,31693257.00794866,31693257.00794853,1.0000000000000042,2026-04-29 14:11:14.790397+00:00,,,,
ADAUSDT,2026-04-29 18:05:39.799652+00:00,kucoin,0.24414,0.24414,-0.00011,19151323.0,46733058.3846,-0.79,0.25397,0.24237,25436901.9752,41.98,46.33,35.7,36.91,40.62,44.95,46299405.5622,0.937,41.08166666666667,4.2401481892342705,35.7,46.33,10.629999999999995,5.710000000000001,-1.2099999999999937,5.07,0,0,1,0,-0.79,-1.8769342068244876,0.9938367242265073,11.537939615492675,14.619999999999997,-2.0048935663804643,2.404415978027,3.45,,,,31693257.00794866,31693257.00794853,1.0000000000000042,2026-04-29 19:05:39.799652+00:00,,,,
