symbol,scan_time,price,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_contracts,funding_rate,rsi_mean,rsi_std,rsi_min,rsi_max,rsi_range,rsi_divergence_5m_4h,rsi_divergence_15m_1h,rsi_divergence_1m_1h,n_tf_oversold,n_tf_overbought,price_momentum_24h,price_pct_change,price_rolling_std_6,oi_pct_change,rsi_5m_slope,cg_funding_oi_weighted_bps,cg_funding_spread_bps,cg_top_ls_ratio,cg_global_ls_ratio,cg_top_minus_global_ls,cg_taker_buy_sell_ratio,cg_liq_pull_up,cg_liq_pull_down,cg_liq_pull_ratio,orderbook_imb,cvd_avg,taker_buy_ratio,basis_bps,orderbook_bid_depth,orderbook_ask_depth,trade_count,target_time,future_scan_time,future_price,future_return_pct,label
1000BONKUSDT,2026-04-29 23:01:12.560132+00:00,0.006155,-1.36,0.006535,0.005979,16834953.398,,,,,,,5436908.46,-7.1e-05,,,,,,,,,0,0,-1.36,,,,,-1.2328834506112742,1.18,,,,,2182053.6006438783,2182053.6006438783,1.0,,,,,,,,2026-04-30 00:01:12.560132+00:00,,,,
AAVEUSDT,2026-04-29 23:01:12.560132+00:00,93.51,-3.06,98.72,91.99,21702814.5982,37.81,40.84,44.99,36.99,40.73,44.51,9789146.7156,3.9e-05,40.97833333333333,3.3043027504553306,36.99,44.99,8.0,0.11000000000000654,8.0,0.8200000000000003,0,0,-3.06,,,,,0.8072208350571183,0.6300000000000001,2.11,,,,11616162.430247635,11616162.430247627,1.0000000000000007,-0.05443585689179594,-14.179999999999998,0.4037469454249254,-2.7823555850433674,970142.1290000001,1081843.738,100.0,2026-04-30 00:01:12.560132+00:00,,,,
ADAUSDT,2026-04-29 23:01:12.560132+00:00,0.24428,-0.99,0.25397,0.23826,29848822.0098,39.67,53.11,51.83,42.48,43.05,44.62,44012684.868,-0.000107,45.79333333333333,5.428645012032622,39.67,53.11,13.439999999999998,10.060000000000002,9.350000000000001,-2.809999999999995,0,0,-0.99,,,,,-1.6646679738540933,1.3260931627700001,3.31,,,,31519122.172144823,31519122.17214459,1.0000000000000073,0.04086497534714758,-154.1600000000001,0.002195815034874708,-5.32568619418349,14459.264569999998,13323.905990000001,100.0,2026-04-30 00:01:12.560132+00:00,,,,
AGTUSDT,2026-04-29 23:01:12.560132+00:00,0.020214,3.71,0.021781,0.01724,5073724.0252,,,,,,,2504332.674,0.000147,,,,,,,,,0,0,3.71,,,,,1.36,0.0,,,,,688182.606272383,688182.6062723792,1.0000000000000056,,,,-70.09230465472125,,,,2026-04-30 00:01:12.560132+00:00,,,,
AINUSDT,2026-04-29 23:01:12.560132+00:00,0.09373,7.399999999999999,0.09907,0.08572,22384375.405,,,,,,,3776109.883,-0.000695,,,,,,,,,0,0,7.399999999999999,,,,,-3.2424923973222954,6.95,,,,,1931200.370628578,1931200.370628572,1.000000000000003,,,,11.7508813160986,,,,2026-04-30 00:01:12.560132+00:00,,,,
AIOTUSDT,2026-04-29 23:01:12.560132+00:00,0.12035,-9.95,0.1359,0.07484,10394558.5298,,,,,,,1374732.7765,0.000596,,,,,,,,,0,0,-9.95,,,,,6.01,0.0,,,,,380003.5867571442,380003.5867571431,1.0000000000000029,,,,,,,,2026-04-30 00:01:12.560132+00:00,,,,
AIXBTUSDT,2026-04-29 23:01:12.560132+00:00,0.02782,0.1399999999999999,0.02991,0.02661,7688844.985,78.62,66.16,52.32,46.05,50.47,55.26,1277303.833,0.000107,58.14666666666667,12.090610682122996,46.05,78.62,32.57000000000001,15.689999999999998,6.270000000000003,32.57000000000001,0,1,0.1399999999999999,,,,,1.107607222414158,1.26,1.11,,,,730596.3625744773,730596.3625744754,1.0000000000000027,0.02332388738577863,2540.6,0.8713675963281295,3.5997120230380104,2852.3713799999996,2722.3472699999998,100.0,2026-04-30 00:01:12.560132+00:00,,,,
APEUSDT,2026-04-29 23:01:12.560132+00:00,0.1483,-5.96,0.1591,0.1409,7281824.0343,38.16,44.96,52.26,44.8,49.27,62.79,6935902.55388,-0.00083,48.70666666666667,8.388271971429317,38.16,62.79,24.630000000000003,-4.310000000000002,7.460000000000001,-6.640000000000001,0,0,-5.96,,,,,-7.507922315610455,1.7057933245310002,2.3,,,,4244935.2469363045,4244935.246936241,1.0000000000000149,0.09271987157298459,7717.4,0.7515613794901884,-6.747638326584952,236262.96500000003,196168.01963999995,100.0,2026-04-30 00:01:12.560132+00:00,,,,
ARCUSDT,2026-04-29 23:01:12.560132+00:00,0.075151,10.8,0.077351,0.065783,5301894.7683,,,,,,,1466144.15581,0.000433,,,,,,,,,0,0,10.8,,,,,1.7901237518222013,2.8699999999999997,,,,,926123.026708384,926123.0267083787,1.0000000000000058,,,,,,,,2026-04-30 00:01:12.560132+00:00,,,,
ASTERUSDT,2026-04-29 23:01:12.560132+00:00,0.65725,0.7799999999999999,0.68085,0.64717,24614146.17098,36.23,51.75,49.46,49.32,51.24,45.75,34136485.7955,0.000126,47.291666666666664,5.814104975545822,36.23,51.75,15.520000000000003,0.509999999999998,0.14000000000000057,-13.090000000000003,0,0,0.7799999999999999,,,,,0.9315903448561802,0.76,1.79,,,,16588006.498347668,16588006.498347579,1.0000000000000053,-0.18580817527482893,-1157.6,0.019269102990033222,-1.5227653418606517,195885.2149,285291.84669999994,100.0,2026-04-30 00:01:12.560132+00:00,,,,
AUSDT,2026-04-29 23:01:12.560132+00:00,0.0949,2.62,0.09827,0.09176,5333684.84074,30.99,42.42,49.55,53.19,62.8,65.84,2310263.2514,-0.000153,50.798333333333325,12.962535888732061,30.99,65.84,34.85000000000001,-20.379999999999995,-3.6400000000000006,-22.2,0,0,2.62,,,,,-1.134365306378989,2.09,1.24,,,,1097660.2138497164,1097660.2138497112,1.0000000000000047,0.21280383333426509,-1053.0,0.08679956050855439,-67.2268907563027,1314.5153599999999,853.2142000000001,100.0,2026-04-30 00:01:12.560132+00:00,,,,
BASUSDT,2026-04-29 23:01:12.560132+00:00,0.013619,-2.26,0.014934,0.011789,10212007.85124,,,,,,,1129755.02027,0.000833,,,,,,,,,0,0,-2.26,,,,,4.602168369219654,8.07,,,,,627070.2945339541,627070.2945339526,1.0000000000000024,,,,30.01464128843292,,,,2026-04-30 00:01:12.560132+00:00,,,,
BCHUSDT,2026-04-29 23:01:12.560132+00:00,448.05,-0.67,455.32,441.72,20179844.9808,45.07,58.61,53.61,44.72,44.88,48.28,10598461.452,3e-05,49.195,5.7381556270286005,44.72,58.61,13.89,13.729999999999997,8.89,0.3500000000000014,0,0,-0.67,,,,,0.21566015560342527,0.9587521444220001,1.89,,,,15300900.01974004,15300900.019739985,1.0000000000000036,-0.048486188967596246,-14.680000000000003,0.36285500747384164,2.9059370529326594,7582696.7700000005,8355478.13,100.0,2026-04-30 00:01:12.560132+00:00,,,,
BIOUSDT,2026-04-29 23:01:12.560132+00:00,0.03419,-5.94,0.03748,0.03203,5441433.26096,52.9,59.63,60.65,57.04,59.24,61.34,7613593.27781,-0.00028,58.46666666666666,3.0983070646187856,52.9,61.34,8.440000000000005,0.39000000000000057,3.6099999999999994,-4.140000000000001,0,0,-5.94,,,,,-1.7237498616125158,3.35,1.05,,,,3951088.288736201,3951088.288736174,1.0000000000000069,-0.06529428979220099,-5755.2,0.11833519019576635,-5.868544600938728,71456.7395,81440.02515999999,100.0,2026-04-30 00:01:12.560132+00:00,,,,
BNBUSDT,2026-04-29 23:01:12.560132+00:00,617.98,-0.8,629.46,610.23,10098151.8534,42.13,58.54,54.22,42.24,39.38,46.48,23458298.3272,3e-06,47.165,7.613750061566244,39.38,58.54,19.159999999999997,19.159999999999997,11.979999999999997,-0.10999999999999943,0,0,-0.8,,,,,-0.297637536060445,1.081679712162,2.23,,,,32489061.010891516,32489061.010891117,1.0000000000000122,-0.04097349171108635,-418.8,0.025815217391304348,-3.481358539449165,158055337.4,171560864.10000002,100.0,2026-04-30 00:01:12.560132+00:00,,,,
BOMEUSDT,2026-04-29 23:01:12.560132+00:00,0.000501,-1.7000000000000002,0.0005502,0.0004816,5041477.74032,35.8,48.74,47.35,41.46,43.89,52.91,1666534.3158000002,-0.000218,45.025,6.007963881382778,35.8,52.91,17.11,4.850000000000001,5.890000000000001,-5.660000000000004,0,0,-1.7000000000000002,,,,,-1.25616488289471,2.8200000000000003,1.43,,,,924529.2539585552,924529.2539585396,1.0000000000000169,-0.05896861258813489,-620.0,0.3844146159582401,-27.96644027167467,23.756176599999996,26.733481700000006,100.0,2026-04-30 00:01:12.560132+00:00,,,,
BSBUSDT,2026-04-29 23:01:12.560132+00:00,0.44907,-47.91,0.94101,0.29843,37041246.3692,41.48,48.62,45.5,33.9,37.91,52.78,5463524.8317,-0.000676,43.365,6.981575037196121,33.9,52.78,18.880000000000003,10.71,11.600000000000001,7.579999999999998,0,0,-47.91,,,,,-4.250513740220173,7.30508542407,1.19,,,,3714251.7332101013,3714251.7332100905,1.0000000000000029,0.21077726830272414,-57.6,0.41743119266055045,2.8316270964935524,3360.3586,2190.3875000000003,100.0,2026-04-30 00:01:12.560132+00:00,,,,
BTCUSDT,2026-04-29 23:01:12.560132+00:00,75935.27,-0.3899999999999999,77880.0,74939.9,606814516.731,45.64,55.14,50.62,41.12,41.88,54.1,2353435549.5065804,0.000114,48.083333333333336,6.08885429836079,41.12,55.14,14.020000000000003,13.259999999999998,9.5,4.520000000000003,0,0,-0.3899999999999999,,,,,0.5527618018070769,1.360401177013,1.22,,,,1909028134.557079,1909028134.5570564,1.0000000000000118,0.8295603026202532,-2.718000000000009,0.4493628437290408,-0.4599221953958608,198648573.315,18505868.69,100.0,2026-04-30 00:01:12.560132+00:00,,,,
CAKEUSDT,2026-04-29 23:01:12.560132+00:00,1.4765,-1.47,1.5288,1.4558,7622460.7984,70.39,61.34,50.3,38.08,39.6,46.64,2856453.1415,0.0,51.05833333333334,12.643205948914487,38.08,70.39,32.31,21.740000000000002,12.219999999999999,32.31,0,1,-1.47,,,,,-0.2654711571361859,1.17,,,,,1131865.587285431,1131865.587285427,1.0000000000000038,,,,-2.032520325203028,,,,2026-04-30 00:01:12.560132+00:00,,,,
CATIUSDT,2026-04-29 23:01:12.560132+00:00,0.04978,7.23,0.05349,0.04653,7516916.11054,35.52,48.92,48.38,54.64,60.92,56.38,453063.61004,-0.000387,50.79333333333333,8.844945826101291,35.52,60.92,25.4,-12.0,-6.259999999999998,-19.119999999999997,0,0,7.23,,,,,-2.1565676537067677,4.66,,,,,222421.58820476237,222421.5882047616,1.0000000000000036,,,,-66.02641056422509,,,,2026-04-30 00:01:12.560132+00:00,,,,
CHIPUSDT,2026-04-29 23:01:12.560132+00:00,0.06442,-6.859999999999999,0.06995,0.06155,9068374.808,38.28,54.35,55.91,42.77,39.46,,7960005.764,-0.000775,46.154,8.375782351517975,38.28,55.91,17.629999999999995,14.89,13.139999999999993,-4.490000000000002,0,0,-6.859999999999999,,,,,,,,,,,,,,,,,,,,,2026-04-30 00:01:12.560132+00:00,,,,
CLUSDT,2026-04-29 23:01:12.560132+00:00,108.282,8.76,108.784,98.38,8410478.06228,47.88,51.89,60.04,79.23,81.03,65.53,11051028.1137,-0.001086,64.26666666666667,13.755552575838845,47.88,81.03,33.15,-29.14,-19.190000000000005,-31.35,0,2,8.76,,,,,,,,,,,,,,,,,,,,,2026-04-30 00:01:12.560132+00:00,,,,
CROSSUSDT,2026-04-29 23:01:12.560132+00:00,0.10829,3.83,0.11054,0.10325,6328407.125,,,,,,,938866.7197,0.001024,,,,,,,,,0,0,3.83,,,,,,,,,,,,,,,,,,,,,2026-04-30 00:01:12.560132+00:00,,,,
DOGEUSDT,2026-04-29 23:01:12.560132+00:00,0.10363,4.06,0.11211,0.09886,96608855.632,56.16,62.85,57.2,52.42,57.48,66.54,109706562.673,0.000152,58.775000000000006,5.06522951108832,52.42,66.54,14.120000000000005,5.3700000000000045,4.780000000000001,3.739999999999995,0,0,4.06,,,,,,,,,,,,,,,,,,,,,2026-04-30 00:01:12.560132+00:00,,,,
EIGENUSDT,2026-04-29 23:01:12.560132+00:00,0.184,2.28,0.1929,0.1746,5538299.991,37.21,51.98,55.44,53.0,53.69,54.64,1129518.592,-0.000154,50.99333333333333,6.860372195928342,37.21,55.44,18.229999999999997,-1.7100000000000009,2.4399999999999977,-15.79,0,0,2.28,,,,,,,,,,,,,,,,,,,,,2026-04-30 00:01:12.560132+00:00,,,,
