symbol,scan_time,market_provider,price,mark_price,funding_rate,oi_contracts,oi_value_now,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_value_1h_ago,oi_change_pct_1h,rsi_mean,rsi_std,rsi_min,rsi_max,rsi_range,rsi_divergence_5m_4h,rsi_divergence_15m_1h,rsi_divergence_1m_1h,n_tf_oversold,n_tf_overbought,oi_rising,oi_spike,price_momentum_24h,price_pct_change,price_rolling_std_6,oi_pct_change,rsi_5m_slope,target_time,future_scan_time,future_price,future_return_pct,label
AAVEUSDT,2026-04-26 05:10:23.261140+00:00,kucoin,93.96,93.96,1.5e-05,11744854,11026068.9352,-0.38,96.33,93.06,7577577.8258,70.55,66.96,56.01,47.1,48.39,44.76,11118392.4048,-0.83,55.62833333333333,10.903715727524569,44.76,70.55,25.79,18.569999999999993,8.909999999999997,23.449999999999996,0,1,0,0,-0.38,,,,,2026-04-26 06:10:23.261140+00:00,,,,
ADAUSDT,2026-04-26 05:10:23.261140+00:00,kucoin,0.25025,0.25025,1.1e-05,17797847,44540891.9022,-0.1699999999999999,0.25389,0.24812,8220190.5362,56.17,58.13,57.08,50.09,50.07,49.21,44547964.2498,-0.016,53.458333333333336,4.078452729487822,49.21,58.13,8.920000000000002,8.060000000000002,6.989999999999995,6.079999999999998,0,0,0,0,-0.1699999999999999,,,,,2026-04-26 06:10:23.261140+00:00,,,,
AGTUSDT,2026-04-26 05:10:23.261140+00:00,kucoin,0.01622,0.01622,0.001504,1474251,2431482.1743,48.2,0.018723,0.010901,7937712.7078,68.85,62.63,58.88,68.08,69.73,61.1,2484522.0130000003,-2.135,64.87833333333334,4.579831510729041,58.88,69.73,10.850000000000001,-7.100000000000001,-9.199999999999996,0.769999999999996,0,0,0,0,48.2,,,,,2026-04-26 06:10:23.261140+00:00,,,,
AINUSDT,2026-04-26 05:10:23.261140+00:00,kucoin,0.06233,0.06233,0.001856,1116540,696497.652,2.52,0.06514,0.05986,23737659.202,56.87,60.29,53.62,50.46,53.21,49.46,673042.772,3.485,53.98499999999999,4.042557358900426,49.46,60.29,10.829999999999998,7.079999999999998,3.1599999999999966,6.409999999999997,0,0,1,1,2.52,,,,,2026-04-26 06:10:23.261140+00:00,,,,
ALGOUSDT,2026-04-26 05:10:23.261140+00:00,kucoin,0.11574,0.11574,-5e-06,54137316,6285342.3876,3.37,0.11824,0.11157,5422349.58526,56.06,48.99,51.51,57.73,66.56,61.52,6294434.5269,-0.144,57.06166666666667,6.442326960552894,48.99,66.56,17.57,-17.57,-6.219999999999999,-1.6699999999999946,0,0,0,0,3.37,,,,,2026-04-26 06:10:23.261140+00:00,,,,
ANIMEUSDT,2026-04-26 05:10:23.261140+00:00,kucoin,0.004972,0.004972,-0.000374,25564411,1274897.17657,-0.1,0.005017,0.004809,5008524.8986,57.11,65.24,71.74,65.54,61.69,56.97,1306448.42947,-2.415,63.048333333333325,5.667660599106712,56.97,71.74,14.769999999999996,3.549999999999997,6.199999999999989,-8.430000000000007,0,1,0,0,-0.1,,,,,2026-04-26 06:10:23.261140+00:00,,,,
APEUSDT,2026-04-26 05:10:23.261140+00:00,kucoin,0.1496,0.1496,-0.000487,426180350,6379919.8395,-25.56,0.2134,0.1471,22996055.93502,59.86,44.6,38.39,41.19,54.22,66.73,6618941.2037700005,-3.611,50.83166666666667,11.245791064512389,38.39,66.73,28.340000000000003,-9.619999999999997,-2.799999999999997,18.67,0,0,0,1,-25.56,,,,,2026-04-26 06:10:23.261140+00:00,,,,
ASTERUSDT,2026-04-26 05:10:23.261140+00:00,kucoin,0.65904,0.65904,-5.7e-05,52146846,34356428.01864,-1.3,0.66804,0.63165,10624779.15456,66.65,61.1,62.71,52.69,41.82,44.61,34248842.082,0.314,54.93000000000001,10.191641673449869,41.82,66.65,24.830000000000005,19.28,10.020000000000003,13.960000000000008,0,0,1,0,-1.3,,,,,2026-04-26 06:10:23.261140+00:00,,,,
AUSDT,2026-04-26 05:10:23.261140+00:00,kucoin,0.08851,0.08851,0.000115,21544082,1908805.6652,-0.91,0.0901,0.08664,5074619.2726,60.59,70.63,69.62,54.63,56.76,60.45,1880315.9808,1.515,62.11333333333334,6.612553717488173,54.63,70.63,15.999999999999993,13.869999999999997,14.990000000000002,5.960000000000001,0,1,1,0,-0.91,,,,,2026-04-26 06:10:23.261140+00:00,,,,
AXSUSDT,2026-04-26 05:10:23.261140+00:00,kucoin,1.402,1.402,-0.000433,33878451,4753146.6753,12.29,1.78,1.241,20748486.3524,62.87,42.84,32.67,45.8,59.76,63.56,4832570.926200001,-1.644,51.25,12.685642277787906,32.67,63.56,30.89,-16.919999999999995,-13.129999999999995,17.07,0,0,0,0,12.29,,,,,2026-04-26 06:10:23.261140+00:00,,,,
