symbol,scan_time,price,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_contracts,funding_rate,rsi_mean,rsi_std,rsi_min,rsi_max,rsi_range,rsi_divergence_5m_4h,rsi_divergence_15m_1h,rsi_divergence_1m_1h,n_tf_oversold,n_tf_overbought,price_momentum_24h,price_pct_change,price_rolling_std_6,oi_pct_change,rsi_5m_slope,cg_funding_oi_weighted_bps,cg_funding_spread_bps,cg_top_ls_ratio,cg_global_ls_ratio,cg_top_minus_global_ls,cg_taker_buy_sell_ratio,cg_liq_pull_up,cg_liq_pull_down,cg_liq_pull_ratio,orderbook_imb,cvd_avg,taker_buy_ratio,basis_bps,orderbook_bid_depth,orderbook_ask_depth,trade_count,target_time,future_scan_time,future_price,future_return_pct,label
1000BONKUSDT,2026-04-29 23:01:12.560132+00:00,0.006155,-1.36,0.006535,0.005979,16834953.398,,,,,,,5436908.46,-7.1e-05,,,,,,,,,0,0,-1.36,,,,,0.11382651120716333,0.66,,,,,2199646.0135108624,2199646.0135108563,1.0000000000000027,,,,,,,,2026-04-30 00:01:12.560132+00:00,,,,
1000BONKUSDT,2026-04-29 23:21:51.344441+00:00,0.0061517,-1.12,0.006535,0.005979,16842564.69,,,,,,,5403013.5032,-0.000121,,,,,,,,,0,0,-1.12,-0.05361494719738902,,-0.623423348937524,,0.11382651120716333,0.66,,,,,2199646.0135108624,2199646.0135108563,1.0000000000000027,,,,,,,,2026-04-30 00:21:51.344441+00:00,,,,
1000BONKUSDT,2026-04-30 05:06:18.137312+00:00,0.006127,-3.28,0.006535,0.005979,16734635.032,54.3,31.31,35.57,39.55,44.41,49.62,5190874.051,1.4e-05,42.46,8.666214860018185,31.31,54.3,22.99,-13.099999999999998,-3.979999999999997,14.75,0,0,-3.28,-0.4015150283661506,0.24600250656978162,-3.9263172685827685,,0.11382651120716333,0.66,,,,,2199646.0135108624,2199646.0135108563,1.0000000000000027,,,,,,,,2026-04-30 06:06:18.137312+00:00,2026-04-30 06:45:26.364023+00:00,0.0061552,0.46025787497961146,0.0
1000BONKUSDT,2026-04-30 06:45:26.364023+00:00,0.0061552,-2.47,0.006535,0.005979,16660177.41,60.16,53.05,44.12,42.4,44.41,49.62,5183527.817600001,-3e-05,48.96,6.778870112341731,42.4,60.16,17.759999999999998,8.64,1.7199999999999989,17.759999999999998,0,0,-2.47,0.46025787497960824,0.43354205501319043,-0.14152208910913622,21.74,0.11382651120716333,0.66,,,,,2199646.0135108624,2199646.0135108563,1.0000000000000027,,,,,,,,2026-04-30 07:45:26.364023+00:00,,,,
1000BONKUSDT,2026-04-30 07:22:20.590718+00:00,0.0061658,-1.98,0.006535,0.005979,16593382.324,53.95,55.14,47.27,43.05,44.41,49.62,5168512.679,3.5e-05,48.906666666666666,4.939589726552873,43.05,55.14,12.090000000000003,10.730000000000004,4.220000000000006,10.900000000000006,0,0,-1.98,0.17221211333506847,0.36410659336531354,-0.2896702618054636,2.0900000000000034,0.11382651120716333,0.66,,,,,2199646.0135108624,2199646.0135108563,1.0000000000000027,,,,,,,,2026-04-30 08:22:20.590718+00:00,,,,
1000BONKUSDT,2026-04-30 12:04:54.998846+00:00,0.0062701,-2.25,0.006455,0.005979,15605755.676,60.05,52.88,59.08,53.23,48.63,49.62,5095522.166999999,0.000287,53.915,4.737808565149081,48.63,60.05,11.419999999999995,4.25,5.850000000000001,6.82,0,0,-2.25,1.691589088196177,0.8013235380384367,-1.4122150129681432,-2.259999999999998,0.11382651120716333,0.66,,,,,2199646.0135108624,2199646.0135108563,1.0000000000000027,,,,,,,,2026-04-30 13:04:54.998846+00:00,,,,
1000BONKUSDT,2026-04-30 17:05:00.177698+00:00,0.0062179,0.99,0.006307,0.005979,14087328.698,38.76,39.39,46.05,47.21,48.2,49.62,4873341.3040000005,-7.3e-05,44.87166666666667,4.6450378541694,38.76,49.62,10.86,-8.810000000000002,-1.1600000000000037,-8.450000000000003,0,0,0.99,-0.8325226072949388,0.8696122893536321,-4.360315895373845,-13.490000000000002,0.11382651120716333,0.66,,,,,2199646.0135108624,2199646.0135108563,1.0000000000000027,,,,,,,,2026-04-30 18:05:00.177698+00:00,,,,
1000BONKUSDT,2026-04-30 20:44:09.984103+00:00,0.0061846,1.17,0.006307,0.006084,12794722.002,46.97,39.26,35.92,42.69,44.41,49.62,4799094.985,-9.7e-05,43.14499999999999,5.013129760937771,35.92,49.62,13.699999999999996,-5.149999999999999,-6.769999999999996,4.280000000000001,0,0,1.17,-0.5355505878190336,0.9157347819169068,-1.5235197858820104,-0.13000000000000256,0.11382651120716333,0.66,,,,,2199646.0135108624,2199646.0135108563,1.0000000000000027,,,,,,,,2026-04-30 21:44:09.984103+00:00,,,,
1000BONKUSDT,2026-04-30 23:38:42.114777+00:00,0.0061588,0.09,0.006307,0.006084,12423113.386,66.16,56.02,42.31,40.57,44.41,49.62,4761670.0612,-0.000275,49.84833333333333,9.764235590493843,40.57,66.16,25.589999999999996,11.610000000000007,1.740000000000002,25.589999999999996,0,0,0.09,-0.4171652168289075,0.9174437483834368,-0.7798329459403286,16.760000000000005,0.11382651120716333,0.66,,,,,2199646.0135108624,2199646.0135108563,1.0000000000000027,,,,,,,,2026-05-01 00:38:42.114777+00:00,,,,
1000BONKUSDT,2026-05-01 07:52:43.432656+00:00,0.0062175,0.24,0.006301,0.006121,11723162.46,64.46,44.58,43.63,46.75,48.96,49.17,4846852.125,0.000138,49.59166666666667,7.620728092949297,43.63,64.46,20.82999999999999,-4.380000000000003,-3.1199999999999974,17.709999999999994,0,0,0.24,0.9531077482626493,0.9773524946377077,1.7889115101463515,-11.440000000000005,0.11382651120716333,0.66,,,,,2199646.0135108624,2199646.0135108563,1.0000000000000027,,,,,,,,2026-05-01 08:52:43.432656+00:00,,,,
1000BONKUSDT,2026-05-01 11:42:28.498555+00:00,0.0061851,-0.69,0.006287,0.006121,11197635.916,30.07,41.3,40.79,47.65,47.52,49.17,4919325.4701,0.000168,42.75,7.137307615620894,30.07,49.17,19.1,-6.220000000000006,-6.859999999999999,-17.58,0,0,-0.69,-0.5211097708082035,1.017477133861906,1.4952662724365684,-3.280000000000001,0.11382651120716333,0.66,,,,,2199646.0135108624,2199646.0135108563,1.0000000000000027,,,,,,,,2026-05-01 12:42:28.498555+00:00,,,,
1000BONKUSDT,2026-05-01 14:43:04.989391+00:00,0.0063179,1.5699999999999998,0.006353,0.006121,11130961.412,56.66,58.97,67.05,63.08,53.35,50.77,4893422.040700001,0.000382,58.31333333333333,6.062206419008399,50.77,67.05,16.279999999999994,5.619999999999997,3.969999999999999,-6.420000000000002,0,0,1.5699999999999998,2.147095439038993,1.1695203670365195,-0.5265646592696793,17.67,0.11382651120716333,0.66,,,,,2199646.0135108624,2199646.0135108563,1.0000000000000027,,,,,,,,2026-05-01 15:43:04.989391+00:00,,,,
1000BONKUSDT,2026-05-01 17:45:15.894293+00:00,0.0063069,1.49,0.006378,0.006121,11396118.158,48.37,43.42,49.31,58.06,54.27,51.35,4926363.7383,0.00037,50.796666666666674,5.052530719022565,43.42,58.06,14.64,-10.850000000000001,-8.75,-9.690000000000005,0,0,1.49,-0.17410848541447033,1.0890022353555147,0.6731832514345504,-15.549999999999997,0.11382651120716333,0.66,,,,,2199646.0135108624,2199646.0135108563,1.0000000000000027,,,,,,,,2026-05-01 18:45:15.894293+00:00,,,,
1000BONKUSDT,2026-05-01 20:36:23.143984+00:00,0.0062725,1.35,0.006378,0.006121,11391026.04,42.04,32.26,38.1,52.71,49.95,51.35,4929513.8425,0.000342,44.40166666666667,8.255910408105619,32.26,52.71,20.450000000000003,-17.690000000000005,-14.61,-10.670000000000002,0,0,1.35,-0.545434365536146,1.0904202778385719,0.06394380048533321,-11.160000000000004,0.11382651120716333,0.66,,,,,2199646.0135108624,2199646.0135108563,1.0000000000000027,,,,,,,,2026-05-01 21:36:23.143984+00:00,,,,
1000BONKUSDT,2026-05-01 23:38:15.479162+00:00,0.00621,0.8099999999999999,0.006378,0.006148,11865876.532,41.0,24.09,27.13,43.46,49.95,51.35,4730585.49,1e-06,39.49666666666666,11.472066364289683,24.09,51.35,27.26,-25.860000000000003,-16.330000000000002,-2.460000000000001,2,0,0.8099999999999999,-0.9964129135113575,1.1820720735775563,-4.035455804686682,-8.169999999999998,0.11382651120716333,0.66,,,,,2199646.0135108624,2199646.0135108563,1.0000000000000027,,,,,,,,2026-05-02 00:38:15.479162+00:00,,,,
1000BONKUSDT,2026-05-02 06:30:32.627850+00:00,0.0062152,-0.4,0.006378,0.006148,12013125.244,37.67,46.17,42.3,46.06,46.91,48.31,4663102.9648,-7.7e-05,44.56999999999999,3.9244413615188596,37.67,48.31,10.64,-0.7399999999999949,-3.760000000000005,-8.39,0,0,-0.4,0.08373590982286849,1.114381492009595,-1.4265152874343268,22.080000000000002,0.11382651120716333,0.66,,,,,2199646.0135108624,2199646.0135108563,1.0000000000000027,,,,,,,,2026-05-02 07:30:32.627850+00:00,,,,
1000BONKUSDT,2026-05-02 10:08:17.309629+00:00,0.0062342,0.8999999999999999,0.006378,0.006148,11930417.724,35.42,59.29,54.1,47.23,46.94,48.31,4636736.1236,-1.2e-05,48.548333333333325,8.036654569325886,35.42,59.29,23.869999999999997,12.350000000000001,6.8700000000000045,-11.809999999999995,0,0,0.8999999999999999,0.3057021495687984,1.0880175367109384,-0.5654355350725448,13.119999999999997,0.11382651120716333,0.66,,,,,2199646.0135108624,2199646.0135108563,1.0000000000000027,,,,,,,,2026-05-02 11:08:17.309629+00:00,,,,
AAVEUSDT,2026-04-29 23:01:12.560132+00:00,93.51,-3.06,98.72,91.99,21702814.5982,37.81,40.84,44.99,36.99,40.73,44.51,9789146.7156,3.9e-05,40.97833333333333,3.3043027504553306,36.99,44.99,8.0,0.11000000000000654,8.0,0.8200000000000003,0,0,-3.06,,,,,0.2865964969978739,1.69,2.32,,,,13868674.598046685,13868674.598046675,1.0000000000000007,-0.181979374892292,69.68,0.9242571846078909,0.21666594444634685,2067325.711,2987132.9359999998,100.0,2026-04-30 00:01:12.560132+00:00,,,,
AAVEUSDT,2026-04-29 23:21:51.344441+00:00,93.34,-3.36,98.72,91.99,21773420.8038,33.56,37.39,42.74,36.0,39.82,44.3,9774167.1716,3.2e-05,38.968333333333334,4.097064396206955,33.56,44.3,10.739999999999995,-2.4299999999999997,6.740000000000002,-2.4399999999999977,0,0,-3.36,-0.1817987381028785,,-0.15302195824821174,-3.450000000000003,0.2865964969978739,1.69,2.32,,,,13868674.598046685,13868674.598046675,1.0000000000000007,-0.181979374892292,69.68,0.9242571846078909,0.21666594444634685,2067325.711,2987132.9359999998,100.0,2026-04-30 00:21:51.344441+00:00,,,,
AAVEUSDT,2026-04-30 05:06:18.137312+00:00,92.49,-5.48,98.72,91.72,22471191.3906,57.32,48.41,35.56,29.28,35.69,40.49,10672012.2942,-0.000102,41.125,10.164299779128909,29.28,57.32,28.04,12.719999999999999,6.280000000000001,28.04,1,0,-5.48,-0.9106492393400556,0.5153751318960221,9.185898980823604,11.019999999999996,0.2865964969978739,1.69,2.32,,,,13868674.598046685,13868674.598046675,1.0000000000000007,-0.181979374892292,69.68,0.9242571846078909,0.21666594444634685,2067325.711,2987132.9359999998,100.0,2026-04-30 06:06:18.137312+00:00,2026-04-30 06:45:26.364023+00:00,92.23,-0.28111147151042376,0.0
AAVEUSDT,2026-04-30 06:45:26.364023+00:00,92.23,-5.09,98.46,91.72,21693182.2948,41.92,41.78,35.92,29.68,35.69,40.49,10987868.0873,-9.1e-05,37.580000000000005,4.768257543379972,29.68,41.92,12.240000000000002,6.090000000000003,6.240000000000002,12.240000000000002,1,0,-5.09,-0.28111147151042015,0.39526444171265096,2.9596648166500206,-6.6299999999999955,0.2865964969978739,1.69,2.32,,,,13868674.598046685,13868674.598046675,1.0000000000000007,-0.181979374892292,69.68,0.9242571846078909,0.21666594444634685,2067325.711,2987132.9359999998,100.0,2026-04-30 07:45:26.364023+00:00,,,,
AAVEUSDT,2026-04-30 07:22:20.590718+00:00,92.63,-4.3,98.46,91.72,21718562.512,52.56,53.99,44.43,31.75,35.69,40.49,11099533.3265,-7.9e-05,43.15166666666667,8.948511421832498,31.75,53.99,22.240000000000002,18.300000000000004,12.68,20.810000000000002,0,0,-4.3,0.43369836278868146,0.55033808768341,1.0162593718163082,12.21,0.2865964969978739,1.69,2.32,,,,13868674.598046685,13868674.598046675,1.0000000000000007,-0.181979374892292,69.68,0.9242571846078909,0.21666594444634685,2067325.711,2987132.9359999998,100.0,2026-04-30 08:22:20.590718+00:00,,,,
AAVEUSDT,2026-04-30 12:04:54.998846+00:00,92.77,-4.3,96.93,91.72,20471466.9588,51.53,50.73,51.18,37.0,36.25,40.49,11597918.0046,-8.3e-05,44.53,7.392474551866918,36.25,51.53,15.280000000000001,14.479999999999997,14.18,14.530000000000001,0,0,-4.3,0.1511389398682894,0.5069213947742769,4.4901408324087955,-3.260000000000005,0.2865964969978739,1.69,2.32,,,,13868674.598046685,13868674.598046675,1.0000000000000007,-0.181979374892292,69.68,0.9242571846078909,0.21666594444634685,2067325.711,2987132.9359999998,100.0,2026-04-30 13:04:54.998846+00:00,,,,
AAVEUSDT,2026-04-30 17:05:00.177698+00:00,93.1,-0.61,94.97,91.72,18036070.716,45.65,43.98,50.16,42.66,40.17,40.71,11786369.693,2.2e-05,43.88833333333333,3.684624358963428,40.17,50.16,9.989999999999995,3.809999999999995,7.5,2.990000000000002,0,0,-0.61,0.3557184434623162,0.49951589296821886,1.6248751571209308,-6.75,0.2865964969978739,1.69,2.32,,,,13868674.598046685,13868674.598046675,1.0000000000000007,-0.181979374892292,69.68,0.9242571846078909,0.21666594444634685,2067325.711,2987132.9359999998,100.0,2026-04-30 18:05:00.177698+00:00,,,,
AAVEUSDT,2026-04-30 20:44:09.984103+00:00,93.27,-0.74,94.25,91.72,16448709.9308,52.5,46.38,47.53,44.19,39.31,40.71,12032287.9557,3.5e-05,45.10333333333333,4.815133089195631,39.31,52.5,13.189999999999998,7.07,3.3400000000000034,8.310000000000002,0,0,-0.74,0.18259935553168738,0.5056355656556812,2.086463169792241,2.4000000000000057,0.2865964969978739,1.69,2.32,,,,13868674.598046685,13868674.598046675,1.0000000000000007,-0.181979374892292,69.68,0.9242571846078909,0.21666594444634685,2067325.711,2987132.9359999998,100.0,2026-04-30 21:44:09.984103+00:00,,,,
