symbol,scan_time,market_provider,price,mark_price,funding_rate,oi_contracts,oi_value_now,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_value_1h_ago,oi_change_pct_1h
BTCUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,76323.59,76323.59,7e-05,29366911,2241386019.04672,-1.24,77470.1,75670.0,370430079.4454,49.76,51.95,52.6,42.49,41.29,56.0,2245878345.1104,-0.2
ETHUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,2288.67,2288.67,-3.2e-05,28541881,653229467.8827,-0.51,2310.61,2257.46,263491825.367,52.25,54.0,51.75,48.14,44.25,51.54,651385669.5573,0.283
SOLUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,84.15,84.15,0.000108,38868056,327074691.24,-0.74,84.933,82.963,89178527.861,69.23,68.12,69.45,52.31,41.72,47.11,331829544.915,-1.433
PEPEUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,3.8844e-06,3.8844e-06,5.1e-05,10563035,21336147.640079997,-0.53,3.91e-06,3.811e-06,35564967.494056,60.12,56.35,54.01,54.27,52.1,57.09,21823896.055104,-2.235
ZECUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,335.75,335.75,2.9e-05,18029267,60533263.9525,-5.2,354.77,330.56,33842613.382,58.61,54.76,53.75,40.11,39.51,55.26,61125412.79750001,-0.969
HYPEUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,40.09,40.09,3.4e-05,16837202,67532333.50180002,-3.83,41.843,39.464,31373057.6366,51.28,55.89,56.46,41.93,38.69,47.85,67712053.90900001,-0.265
MUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,3.44082,3.44082,0.000591,528658,18187685.503,-9.4,4.05235,3.32964,30466822.8306,63.99,67.79,55.78,39.95,30.99,50.68,18138729.3225,0.27
DOGEUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,0.09947,0.09947,4.7e-05,8624061,85783534.767,0.64,0.101,0.09806,24567620.892,64.1,53.0,51.81,53.98,56.04,59.84,85549501.751,0.274
RAVEUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,0.86207,0.86207,0.002416,3278379,28223564.811,-1.08,0.91154,0.82792,23880360.1738,40.83,45.47,45.48,44.09,38.75,45.1,28476927.681,-0.89
PENGUUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,0.010142,0.010142,5e-05,122420088,12417069.52584,-1.13,0.010588,0.009755,22794732.59664,40.97,36.86,44.76,51.55,63.77,74.44,12477913.122779999,-0.488
XRPUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,1.38008,1.38008,-4e-06,10152039,140134685.5404,-1.25,1.4,1.36765,22552960.504,50.18,49.6,50.35,40.64,35.54,46.34,139786821.01680002,0.249
GIGGLEUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,35.01,35.01,0.000279,8601609,3011423.3109,-4.31,36.77,33.68,22153829.1034,42.43,55.48,60.72,54.79,51.9,53.04,2857237.1703,5.396
APEUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,0.1575,0.1575,-0.000135,417592639,6627195.180930002,11.200000000000001,0.1913,0.14,21092747.45438,68.06,52.14,41.28,48.45,54.44,68.03,6672003.475260001,-0.672
AINUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,0.08823,0.08823,0.001312,2358813,2081652.4725,-2.45,0.09143,0.08482,20789980.8346,73.0,61.56,50.56,50.6,67.86,63.87,2045095.7925,1.788
FILUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,0.9193,0.9193,0.000158,107002333,9836724.472690001,-0.38999999999999996,0.9319,0.9066,20715433.898,60.78,56.21,52.85,50.14,45.63,50.71,9870557.930240002,-0.343
ZBTUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,0.18378,0.18378,0.000464,3264616,6001017.131200001,-5.01,0.22837,0.1825,20709288.1396,37.57,29.56,28.32,40.15,51.63,67.78,6074089.2576,-1.203
HUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,0.18081,0.18081,-0.00021,4405452,7939946.1396,27.279999999999998,0.1852,0.1365,20043672.6334,47.01,51.35,58.79,74.49,71.5,72.32,7572296.7649,4.855
ASTERUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,0.65591,0.65591,4.6e-05,49786783,32659133.91234,1.3299999999999998,0.65538,0.62604,19526841.18708,84.88,73.31,67.5,68.93,51.82,45.02,32787865.39548,-0.393
VIRTUALUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,0.6902,0.6902,-4.8e-05,4681603,3233115.0318,-1.17,0.7017,0.6771,19091228.8754,59.91,55.62,53.44,49.43,46.42,50.31,3222587.5254,0.327
PRLUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,0.36104,0.36104,-0.004792,3145186,11304113.0026,14.38,0.40671,0.30555,18712161.3054,55.27,50.12,51.19,54.45,68.84,75.18,11029559.7036,2.489
ADAUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,0.24659,0.24659,0.000133,17229322,42506460.306200005,-0.48,0.24884,0.2443,18506838.3008,50.11,44.88,47.38,47.5,45.01,46.97,42742680.197000004,-0.553
AAVEUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,96.44,96.44,9e-06,13985064,13496985.266400002,-1.03,98.47,95.61,17601341.426,55.41,50.9,49.01,47.5,51.98,48.0,13227949.1649,2.034
SWARMSUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,0.02158,0.02158,0.000255,12815951,2768245.416,8.73,0.02688,0.01758,17240569.0412,61.17,42.32,38.63,46.74,51.96,68.76,2760165.504,0.293
BCHUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,453.27,453.27,5.9e-05,2293841,10390182.193599999,0.8699999999999999,454.16,442.59,16641230.1506,40.09,57.88,62.52,63.41,52.99,51.13,10350738.436800001,0.381
ORCAUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,1.6489,1.6489,-0.002508,7609459,12671271.1268,3.06,1.7945,1.4355,15727593.1044,59.11,56.38,53.56,55.96,62.04,88.16,12481231.842,1.523
IDOLUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,0.02424,0.02424,0.000984,668732,1622343.832,7.71,0.02418,0.02129,14343436.184,64.15,70.24,74.38,70.22,62.38,54.27,1638993.47,-1.016
USELESSUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,0.03939,0.03939,0.000249,4876750,1922414.8499999999,-2.3,0.0405,0.03843,14099752.8754,61.07,57.26,53.08,47.15,42.8,48.3,1884390.7122,2.018
RIVERUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,6.167,6.167,-6e-05,5431761,33568282.98,-6.93,6.698,6.106,13909531.378,62.16,54.24,47.31,37.64,43.96,37.93,33699552.36,-0.39
BSBUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,0.84084,0.84084,0.000483,1071501,9007573.1565,11.85,0.88599,0.683,13684280.0742,56.96,48.47,52.72,56.49,61.97,88.25,8751931.4915,2.921
LABUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,0.66671,0.66671,-3.2e-05,1012892,6761763.1244,-6.43,0.74323,0.64695,13549668.6898,53.36,51.25,46.92,44.62,45.41,59.63,6651914.4809,1.651
1000BONKUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,0.006222,0.006222,-0.000106,789680,4915284.192,-0.16999999999999998,0.006294,0.006104,13522187.978,46.68,44.63,47.76,51.83,48.94,53.1,4933590.1524,-0.371
ZKJUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,0.02356,0.02356,-0.02,12560542,2944191.0448,59.489999999999995,0.04993,0.01339,13411302.3854,40.7,30.89,32.22,46.38,57.77,62.9,1552759.8288,89.61
XMRUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,378.54,378.54,0.000499,6956836,26339972.4632,-0.44999999999999996,385.36,373.16,13013361.8822,59.2,46.26,44.84,46.03,49.49,58.48,27197467.253000002,-3.153
TRXUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,0.3228,0.3228,-0.00013,548592,17715132.864,-0.79,0.32565,0.32226,12655777.41,54.89,50.62,47.54,41.48,39.22,51.67,17643121.704,0.408
ZEREBROUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,0.01972,0.01972,0.000181,79605345,1569021.34995,14.96,0.01999,0.01696,12150814.95324,48.94,45.9,52.91,67.18,66.63,70.5,1552704.3279,1.051
CROSSUSDT,2026-04-29T00:08:01.591960+00:00,kucoin,0.10346,0.10346,-5.6e-05,814535,843613.8994999999,3.36,0.10626,0.09609,12119392.4594,47.03,45.38,51.79,54.37,46.6,58.76,811540.3419,3.952
