symbol,scan_time,market_provider,price,mark_price,funding_rate,oi_contracts,oi_value_now,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_value_1h_ago,oi_change_pct_1h
BTCUSDT,2026-04-26T05:10:23.261140+00:00,kucoin,77786.7,77786.7,-3e-05,29335020,2281869119.9304004,0.27,77869.9,77102.5,183423504.134,66.62,70.84,68.63,57.8,53.88,63.11,2289758073.21576,-0.345
ETHUSDT,2026-04-26T05:10:23.261140+00:00,kucoin,2318.95,2318.95,-1.1e-05,28781951,667439052.7145,0.15,2323.0,2300.54,105707929.4368,69.34,69.28,59.88,54.25,47.81,54.81,664600449.2089999,0.427
SOLUSDT,2026-04-26T05:10:23.261140+00:00,kucoin,86.433,86.433,-0.000115,39708886,343215814.36380005,0.29,86.787,85.518,59219011.1038,56.62,61.63,62.43,55.43,52.26,52.14,340989628.72920007,0.653
RAVEUSDT,2026-04-26T05:10:23.261140+00:00,kucoin,0.94075,0.94075,0.002024,2960439,27900657.3555,4.3,1.11629,0.711,28261502.4634,36.33,35.37,46.87,51.28,37.89,45.24,27837249.3195,0.228
AINUSDT,2026-04-26T05:10:23.261140+00:00,kucoin,0.06233,0.06233,0.001856,1116540,696497.652,2.52,0.06514,0.05986,23737659.202,56.87,60.29,53.62,50.46,53.21,49.46,673042.772,3.485
SKYAIUSDT,2026-04-26T05:10:23.261140+00:00,kucoin,0.1898,0.1898,0.000891,5190211,9852577.5413,-3.01,0.20438,0.18911,23030736.8806,42.82,37.22,24.83,34.0,49.75,67.13,10289509.2523,-4.246
APEUSDT,2026-04-26T05:10:23.261140+00:00,kucoin,0.1496,0.1496,-0.000487,426180350,6379919.8395,-25.56,0.2134,0.1471,22996055.93502,59.86,44.6,38.39,41.19,54.22,66.73,6618941.2037700005,-3.611
ZECUSDT,2026-04-26T05:10:23.261140+00:00,kucoin,357.22,357.22,-2.6e-05,17504858,62530853.74760001,0.72,361.61,351.22,21032177.6168,37.98,51.71,51.77,52.86,63.37,64.0,62220411.7066,0.499
AXSUSDT,2026-04-26T05:10:23.261140+00:00,kucoin,1.402,1.402,-0.000433,33878451,4753146.6753,12.29,1.78,1.241,20748486.3524,62.87,42.84,32.67,45.8,59.76,63.56,4832570.926200001,-1.644
BSBUSDT,2026-04-26T05:10:23.261140+00:00,kucoin,0.6307,0.6307,4.3e-05,644050,4063891.095,28.98,0.79461,0.47021,20741221.8372,53.66,55.15,46.29,50.49,60.87,76.2,4595033.2374,-11.559
