symbol,scan_time,price,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_contracts,funding_rate
LABUSDT,2026-05-03T07:11:12.327321+00:00,1.02191,-35.91,4.09096,0.67074,290668074.7588,27.43,31.78,32.9,38.74,48.14,61.31,46444317.51140001,0.006815
BTCUSDT,2026-05-03T07:11:12.327321+00:00,78399.9,0.1,79150.0,78061.4,224562846.4782,67.97,67.38,59.4,51.37,55.75,58.79,2359963527.4386,-5.7e-05
ETHUSDT,2026-05-03T07:11:12.327321+00:00,2309.79,0.2,2342.84,2297.47,104907156.082,65.94,66.96,59.88,51.75,50.98,49.95,606672880.2057,5.1e-05
SKYAIUSDT,2026-05-03T07:11:12.327321+00:00,0.43847,15.540000000000001,0.53373,0.34899,102618439.424,58.7,41.9,37.15,43.48,68.12,83.24,11568781.022100002,0.001472
SOLUSDT,2026-05-03T07:11:12.327321+00:00,83.905,0.11,84.995,83.526,56276991.9428,63.35,64.99,55.99,46.88,45.86,43.66,295259295.31700003,2.9e-05
HYPEUSDT,2026-05-03T07:11:12.327321+00:00,40.931,-1.34,42.462,40.811,34858216.8708,42.7,46.94,43.66,37.89,49.88,48.77,63908472.307900004,0.000185
ZECUSDT,2026-05-03T07:11:12.327321+00:00,385.5,1.83,394.96,371.26,32010669.9844,47.29,55.28,54.76,56.34,64.08,63.55,62898268.66500001,-0.000111
UBUSDT,2026-05-03T07:11:12.327321+00:00,0.1332248,-7.6899999999999995,0.1815835,0.1206125,31168976.4358,27.23,17.8,31.91,43.17,69.45,79.6,10187833.6808,-0.001287
PEPEUSDT,2026-05-03T07:11:12.327321+00:00,3.9419e-06,0.13999999999999999,4.0082e-06,3.9083e-06,30377724.729872,60.77,57.34,50.58,45.51,49.05,54.12,35213933.23734,9.9e-05
MUSDT,2026-05-03T07:11:12.327321+00:00,2.9708,3.56,3.09538,2.81242,28183903.2804,59.32,60.71,56.12,45.87,31.13,40.93,11558313.312,0.000505
RAVEUSDT,2026-05-03T07:11:12.327321+00:00,0.64517,-5.7700000000000005,0.69816,0.61164,25429407.979,49.19,46.99,42.95,33.94,30.55,42.52,28944152.0311,0.001773
ZEREBROUSDT,2026-05-03T07:11:12.327321+00:00,0.02606,-9.56,0.03198,0.0237,25339604.3892,45.07,51.49,54.78,39.92,47.49,59.36,3916783.00142,-0.000173
TAOUSDT,2026-05-03T07:11:12.327321+00:00,288.52,3.85,292.3,272.1,21509256.542,47.67,50.24,60.09,65.29,72.02,58.51,31686677.262799997,-0.000117
DOGEUSDT,2026-05-03T07:11:12.327321+00:00,0.10819,0.16,0.10935,0.10713,21417638.124,72.79,65.32,54.79,46.2,54.36,63.29,105348822.41,3e-06
FILUSDT,2026-05-03T07:11:12.327321+00:00,0.9202,0.33999999999999997,0.9412,0.9138,20441154.37094,54.53,56.89,50.81,42.38,45.04,48.21,9570843.21388,6e-05
PENGUUSDT,2026-05-03T07:11:12.327321+00:00,0.009646,-5.09,0.010282,0.009577,19132513.53154,49.06,50.85,41.49,31.66,41.49,63.77,15071241.06488,-0.000169
XRPUSDT,2026-05-03T07:11:12.327321+00:00,1.38751,-0.01,1.40065,1.3814,18487371.6212,64.91,64.28,56.82,47.06,46.54,45.18,121072762.8402,-1.8e-05
VIRTUALUSDT,2026-05-03T07:11:12.327321+00:00,0.74,5.0200000000000005,0.7707,0.6987,18342538.805,61.88,67.29,58.15,58.23,59.13,56.6,3796062.36,-0.000155
RIVERUSDT,2026-05-03T07:11:12.327321+00:00,6.548,0.12,6.861,6.503,18063570.328,31.93,26.15,35.45,39.21,50.6,37.25,32064108.892,0.000222
BIOUSDT,2026-05-03T07:11:12.327321+00:00,0.05374,18.17,0.066,0.04503,16559779.31934,46.73,34.83,34.78,47.48,66.53,68.65,13617339.712520001,-0.000799
TRXUSDT,2026-05-03T07:11:12.327321+00:00,0.33662,2.36,0.34385,0.32854,16502870.8,23.5,49.38,59.58,60.56,82.07,72.51,18485453.638,-7.6e-05
ADAUSDT,2026-05-03T07:11:12.327321+00:00,0.24932,0.61,0.25275,0.24734,16502557.6454,62.28,65.2,61.24,50.17,49.46,45.77,40612587.4744,3e-05
ASTERUSDT,2026-05-03T07:11:12.327321+00:00,0.67561,3.1300000000000003,0.69104,0.65321,16408428.95306,52.07,40.77,41.24,52.56,61.69,53.27,32902116.46826,1.4e-05
AIXBTUSDT,2026-05-03T07:11:12.327321+00:00,0.03339,11.559999999999999,0.03639,0.02957,15363190.8286,69.01,48.11,39.38,48.85,64.22,65.4,1453182.2172,-3.7e-05
GIGGLEUSDT,2026-05-03T07:11:12.327321+00:00,31.55,5.6899999999999995,33.0,29.62,15335296.299,76.06,67.63,52.82,51.26,45.56,46.29,2258263.815,-0.000393
LUNCUSDT,2026-05-03T07:11:12.327321+00:00,8.4702e-05,18.14,9.7282e-05,7.1775e-05,15315698.27509,64.04,57.35,46.55,53.03,60.62,88.33,7027503.105462001,-0.000967
AINUSDT,2026-05-03T07:11:12.327321+00:00,0.09634,1.7399999999999998,0.09927,0.09237,15025354.3,54.28,58.42,49.38,51.15,57.51,61.7,4138747.1319999998,0.000339
BSBUSDT,2026-05-03T07:11:12.327321+00:00,0.74111,32.33,0.81754,0.5309,13210355.0704,49.41,59.78,61.69,62.83,57.28,61.28,7150207.046700001,0.000373
USELESSUSDT,2026-05-03T07:11:12.327321+00:00,0.04055,4.21,0.0414,0.03848,12539915.037,46.83,53.15,53.89,55.26,55.84,47.46,2081550.3115,8.9e-05
1000BONKUSDT,2026-05-03T07:11:12.327321+00:00,0.0062432,-0.01,0.006373,0.006176,11987426.698,60.53,60.64,52.57,44.14,46.15,49.63,5149147.8752,-0.000151
IDOLUSDT,2026-05-03T07:11:12.327321+00:00,0.02264,-0.8699999999999999,0.02313,0.02226,11668952.544,41.48,41.56,38.74,35.3,45.45,44.52,1304983.1840000001,0.00016
XLMUSDT,2026-05-03T07:11:12.327321+00:00,0.1594,-0.06999999999999999,0.16111,0.15792,11474759.7484,55.75,69.27,62.21,46.34,37.04,39.78,8696588.238,-2.6e-05
AAVEUSDT,2026-05-03T07:11:12.327321+00:00,92.61,0.5,93.91,91.83,11184895.9174,51.53,69.18,63.19,50.89,41.92,40.19,14246801.9694,-7.9e-05
DASHUSDT,2026-05-03T07:11:12.327321+00:00,37.5,0.75,38.14,36.82,11072897.3994,34.77,46.8,55.1,53.27,57.51,51.79,9416030.25,-0.0004
ORCAUSDT,2026-05-03T07:11:12.327321+00:00,2.1031,7.4399999999999995,2.398,1.9428,10925250.6992,41.15,47.77,47.54,49.61,57.65,73.28,11961456.9616,-0.000888
BCHUSDT,2026-05-03T07:11:12.327321+00:00,444.07,-1.29,449.8,442.49,10635793.0722,49.27,53.56,50.72,38.61,41.38,43.66,11442951.184500001,7.2e-05
TACUSDT,2026-05-03T07:11:12.327321+00:00,0.021815,11.24,0.024529,0.019145,10394287.1912,62.57,75.08,68.96,58.28,59.74,72.32,12158481.175,0.00157
BASUSDT,2026-05-03T07:11:12.327321+00:00,0.017219,3.08,0.017917,0.015641,10323045.3148,52.23,72.68,70.53,55.19,55.99,61.32,1959209.6751500003,-2.3e-05
ZENUSDT,2026-05-03T07:11:12.327321+00:00,6.19,-0.5599999999999999,6.33,6.054,10188834.1634,44.46,52.1,55.19,49.74,54.39,52.07,4506905.574000001,0.000172
APEUSDT,2026-05-03T07:11:12.327321+00:00,0.1729,1.05,0.1887,0.1703,10033465.3546,46.69,51.21,47.12,43.27,51.82,57.25,9738146.52174,6.1e-05
